appno,pubdate,pubnum,title,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
12830323,20120105,20120000267,MANDREL ASSEMBLY FOR TUBE BENDING,"The various embodiments herein provide a mandrel assembly for tube bending. The mandrel assembly comprises a plurality of chains, a ring arranged between the plurality of chains links, a plurality of ball segments, a shank and a pin. The ring is placed between the set of chain links and the chain links are inserted into the one side of the ball segment and the other side of the ball segment is inserted with other set of chain links and the pin is held to hold the components firmly. The plurality of chains links are passed into a machined section of each of the plurality of ball segments and the pin is inserted into a groove of the ball segments to hold the plurality of chains and then connected to the shank thereby forming a mandrel joint.","","","",20100704,Iranian National Science Foundation sponsors the Present invention for International Filing.,"","","",""
13125993,20120105,20120000293,Nanofiber Actuators and Strain Amplifiers,Nanofiber actuators and strain amplifiers having a material that generates a force or generates a displacement when directly or indirectly electrically driven. This material is an aerogel or a related low density or high density network comprising conducting fibers that are electrically interconnected and can substantially actuate without the required presence of either a liquid or solid electrolyte. Reversible or permanently frozen actuation is used to modify the properties of the actuator material for applications.,"","[BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM]","This application for patent claims the benefit of priority from U.S. Provisional Patent Application Ser. No. 61/089,275, filed Aug. 15, 2008, entitled &#x201C;Nanofiber Actuators and Strain Amplifiers,&#x201D; which provisional patent application is commonly assigned to the assignee of the present invention, and which disclosure is considered part of and is incorporated by reference in its entirety in the disclosure of this application.",20090817,"This work was supported by the Air Force Office of Scientific Research grant FA9550-05-C-0088, National Science Foundation grant DMI-0609115, Office of Naval Research MURI grant N00014-08-1-0654, and Robert A. Welch Foundation Grant AT-0029. The U.S. government may have certain rights in the invention.","","",20110718,PCT/US09/54017
13080910,20120105,20120000557,SYSTEMS AND METHODS FOR REDUCING DEAD VOLUME IN COMPRESSED-GAS ENERGY STORAGE SYSTEMS,"In various embodiments, dead space and associated coupling losses are reduced in energy storage and recovery systems employing compressed air.","","","This application claims the benefit of and priority to U.S. Provisional Patent Application No. 61/322,115, filed Apr. 8, 2010; U.S. Provisional Patent Application No. 61/407,798, filed Oct. 28, 2010; and U.S. Provisional Patent Application No. 61/412,959, filed Nov. 12, 2010, and is a continuation-in-part of U.S. patent application Ser. No. 12/639,703, filed Dec. 16, 2009, which (i) is a continuation-in-part of U.S. patent application Ser. No. 12/421,057, filed Apr. 9, 2009, which claims the benefit of and priority to U.S. Provisional Patent Application No. 61/148,691, filed Jan. 30, 2009, and U.S. Provisional Patent Application No. 61/043,630, filed Apr. 9, 2008; (ii) is a continuation-in-part of U.S. patent application Ser. No. 12/481,235, filed Jun. 9, 2009, which claims the benefit of and priority to U.S. Provisional Patent Application No. 61/059,964, filed Jun. 9, 2008; and (iii) claims the benefit of and priority to U.S. Provisional Patent Application Nos. 61/166,448, filed on Apr. 3, 2009; 61/184,166, filed on Jun. 4, 2009; 61/223,564, filed on Jul. 7, 2009; 61/227,222, filed on Jul. 21, 2009; and 61/251,965, filed on Oct. 15, 2009. The entire disclosure of each of these applications is hereby incorporated herein by reference.",20110406,This invention was made with government support under IIP-0810590 and IIP-0923633 awarded by the NSF. The government has certain rights in the invention.,12639703,13080910,"",""
13154808,20120105,20120000770,ELECTROCHEMICAL DEPOSITION PLATFORM FOR NANOSTRUCTURE FABRICATION,"Probe-based methods are provided for formation of one or more nano-sized or micro-sized elongated structures such as wires or tubes. The structures extend at least partially upwards from the surface of a substrate, and may extend fully upward from the substrate surface. The structures are formed via a localized electrodeposition technique. The electrodeposition technique of the invention can also be used to make modified scanning probe microscopy probes having an elongated nanostructure at the tip or conductive nanoprobes. Apparatus suitable for use with the electrodeposition technique are also provided.","",[The Board of Trustees of the University of  Illinois],"This application claims the benefit of U.S. Provisional Application 60/890,787, filed Feb. 20, 2007, which is hereby incorporated by reference to the extent not inconsistent with the disclosure herein.",20110607,This invention was made with government support under grant DMI-0328162 awarded by the National Science Foundation. The government has certain rights in the invention.,12034365,13154808,"",""
13154248,20120105,20120000777,DEVICES AND METHODS FOR FORMING DOUBLE EMULSION DROPLET COMPOSITIONS AND POLYMER PARTICLES,"The present invention generally relates to double emulsion droplet compositions, polymer particles that can be formed from such double emulsion droplet compositions, and to methods and apparatuses for making such compositions and particles. A double emulsion generally describes larger droplets that contain smaller droplets therein. These double emulsion droplet compositions can be used to create a variety of materials including polymer particles and polymeric shells and are further useful for encapsulating a variety of species including catalyst compounds and pharmaceutical agents. The double emulsion droplet compositions disclosed herein are readily formed using planar droplet (“digital”) microfluidic devices without channels, and either air or an immiscible liquid as an ambient medium.","",[THE REGENTS OF THE UNIVERSITY OF CALIFORNIA],"This application claims priority under Section 119(e) from U.S. Provisional Application Ser. 61/351,410, filed Jun. 4, 2010, the contents of which are incorporated herein by reference.",20110606,"This invention was made with Government support under Grant Nos. RR020070 and RR020070, awarded by the National Institutes of Health and Grant Nos. DGE 0114443 and DGE 0654431, awarded by the National Science Foundation. The Government has certain rights in this invention.","","","",""
13230570,20120105,20120000780,Physically Crosslinked Copolymer Compounds and Related Compositions and Methods for Electrophoretic Separation,"Linear acrylamide copolymer compounds which can comprise monomeric components comprising at least one N-substituted moiety capable of physical cross-linking, and related compositions and methods of use.","",[Northwestern University],"This application is a divisional of and claims priority benefit from application Ser. No. 11/803,278 filed May 14, 2007, now issued as U.S. Pat. No. 8,017,682, which claimed priority benefit from application Ser. No. 60/799,883 filed May 12, 2006, each of which are incorporated herein by reference.",20110912,"The United States Government has certain rights to this invention pursuant to Grant No. F49620-01-1-0401 from United States Air Force Office of Scientific Research, and Grant No. EEC-0118025 from the National Science Foundation, to Northwestern University.",11803278,13230570,"",""
12828448,20120105,20120000854,CONTINUOUS REMOVAL OF DISPERSE DYES FROM SOLUTION VIA CARBON-BASED FIBER MEDIA,"The present invention is directed to a method of removing colorants from a material. The method includes providing colored material, providing an oxoacid or oxoacid ester of phosphorous acid solvent, combining the colored material and the solvent, and agitating under conditions effective to remove the colorant from the colored material. The decolorizing solvent system is continuously refreshed by passing the colored solvent through a carbon column for subsequent recycling.","","[IOWA STATE UNIVERSITY RESEARCH FOUNDATION, INC.]","",20100701,This invention was made with government support under grant number CHE0750463 awarded by National Science Foundation. The government has certain rights in this invention.,"","","",""
13167920,20120105,20120001146,NANOSCALE METAL OXIDE RESISTIVE SWITCHING ELEMENT,"A non-volatile memory device structure. The non-volatile memory device structure comprises a first electrode formed from a first metal material, a resistive switching element overlying the first electrode. The resistive switching element comprises a metal oxide material characterized by one or more oxygen deficient sites. The device includes a second electrode overlying the resistive switching layer, the second electrode being formed from a second metal material. The second electrode is made from a noble metal. The one or more oxygen deficient sites are caused to migrate from one of the first electrode or the second electrode towards the other electrode upon a voltage applied to the first electrode or the second electrode. The device can have a continuous change in resistance upon applying a continuous voltage ramp, suitable for an analog device. Alternatively, the device can have a sharp change in resistance upon applying the continuous voltage ramp, suitable for a digital device.","",[THE REGENTS OF THE UNIVERSITY OF MICHIGAN],"This application claims the benefit of U.S. Provisional Application No. 61/358,385, filed Jun. 24, 2010, and U.S. Provisional Application No. 61/359,818, filed Jun. 29, 2010. The entire contents of these two applications are hereby incorporated by reference.",20110624,This invention was made with government support under CCF0621823 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
13256300,20120105,20120001172,RAPID CRYSTALLIZATION OF HEAVILY DOPED METAL OXIDES AND PRODUCTS PRODUCED THEREBY,"A method of making a doped metal oxide comprises heating a first doped metal oxide with a laser, to form a crystallized doped metal oxide. The crystallized doped metal oxide has a different crystal structure than the first doped metal oxide.","","","",20100218,"The subject matter of this application may have been funded in part under a research grant from the National Science Foundation, under Center of Advanced Materials for the Purification of Water with Systems Grant Number CTS-0120978. The U.S. Government may have rights in this invention.","","",20110913,PCT/US10/24540
13231488,20120105,20120003280,CERAMIC/STRUCTURAL PROTEIN COMPOSITES AND METHOD OF PREPARATION THEREOF,"Ceramic/structural protein composites and methods of preparation are disclosed, including coatings and films. Ceramic/structural protein coatings can be fabricated on the surface of substrates, including the surface of implantable medical devices.","","","This application is a divisional of U.S. application Ser. No. 12/265,979 filed Nov. 6, 2008, which claims the benefit of U.S. Provisional Application Ser. No. 60/985,679 filed Nov. 6, 2007, each of which is hereby incorporated by reference in its entirety.",20110913,The U.S. Government has certain rights in this invention pursuant to Grant No. DMI 0500269 awarded by the National Science Foundation.,12265979,13231488,"",""
