appno,pubdate,pubnum,title,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
12310782,20100107,20100000607,All-gaseous deposition of nanocomposite films,"The present invention provides a method of producing a nanocomposite film on a substrate. The method involves co-deposition of gaseous lead salt clusters in a conducting polymer film, such as a conductive polythiophene, on the substrate. The polymer film preferably is simultaneously deposited with the lead salt clusters, e.g., by co-depositing organic monomers and/or oligomers onto the substrate in the presence of gaseous lead salt clusters. Preferred lead salts are PbS, PbTe and PbSe. Devices and articles of manufacture including a nanocomposite film of the invention are also disclosed.",[Luke Hanley][Igor L. Bolotin][Daniel J. Asunskis][Amanda T. Wroble][Adam M. Zachary],"","This application claims the benefit of U.S. Provisional Application for Patent Ser. No. 60/843,996, filed on Sep. 12, 2006, which is incorporated herein by reference.",20070912,This work was supported by National Science Foundation grant CHE-0241425 and U.S. Department of Defense contract W81XWH-05-2-0093. The government may have an interest in this invention.,"","",20090306,PCT/US2007/019894
12098000,20100107,20100000770,"Conducting Nanotubes or Nanostructures Based Composites, Method of Making Them and Applications","An electromagnetic interference (EMI) shielding material includes a matrix of a dielectric or partially conducting polymer, such as foamed polystyrene, with carbon nanotubes or other nanostructures dispersed therein in sufficient concentration to make the material electrically conducting. The composite is formed by dispersing the nanotube material in a solvent in which the dielectric or partially conducting polymer is soluble and mixing the resulting suspension with the dielectric or partially conducting polymer. A foaming agent can be added to produce a lightweight foamed material. An organometallic compound can be added to enhance the conductivity further by decomposition into a metal phase.",[Mool C. Gupta][Yonglai Yang][Kenneth L. Dudley][Roland W. Lawrence],[UNIVERSITY OF VIRGINIA PATENT FOUNDATION][THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION],"The present application claims the benefit of U.S. Provisional Patent Application No. 60/751,705, filed Dec. 19, 2005, whose disclosure is hereby incorporated by reference in its entirety into the present disclosure.",20061219,The work leading to the present invention was supported by National Science Foundation Grant No. GA10510 and NASA Grant No. GG10747. The government has certain rights in the invention.,"","",20081119,PCT/US06/48165
11076729,20100107,20100001185,"PHOTONIC SENSORS, XEROGEL-BASED SENSORS AND NANOSENSORS","A photonic sensor system is provided. The system generally includes a beta emission source, optionally, a scintillation layer, and a luminophore-containing sensory layer. The system can be embodied in a particle. Also provided are photonic sensor strategies which are highly accurate and photonic sensors which are highly stable.",[Frank V. Bright][William G. Holthoff][Elizabeth C. Tehan],"","This application claims priority to Provisional Application No. 60/551818, filed on Mar. 10, 2004.",20050310,This invention was made with Government support under grant numbers CHE-0315128 from the National Science Foundation (NSF) and N00014-02-1-0836 from the Office of Naval Research (ONR). The Government has certain rights in the invention.,"","","",""
12386503,20100107,20100001209,Halide-based scintillator nanomaterial,"Scintillator material comprising nanoparticles (nanocrystals) comprising lead (Pb), iodine (I), and optionally one or both of oxygen (O) and hydrogen (H) wherein the nanoparticles exhibit room-temperature scintillation under gamma irradiation. The scintillator nanoparticles can comprise PbOI. The scintillator nanoparticles can comprise PbIOH in generally equiatomic proportions or non-equiatomic variants thereof that exhibit scintillation under gamma irradiation. The scintillator nanoparticles have a particle dimension in the range of about 5 to about 100 nm. Microparticles (microcrystals) also are provided comprising lead (Pb), iodine (I), and optionally one or both of oxygen (O) and hydrogen (H) grown in a nanoparticle colloidal solution over time to a particle dimension greater than 0.1 μm, such as about 2 microns. A heterogeneous scintillator material is provided comprising core/shell nanoparticles having a highly hygroscopic or deliquescent halide-based core activated with trivalent Ln or divalent Ln lanthanide ions (Ln=La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu) and a stable non-hygroscopic shell thereon. The heterogeneous nanoparticles can comprise highly hygroscopic lanthanide halide (LaBr, LuI) cores protected with stable non-hygroscopic LaFshells. The heterogeneous nanoparticles can comprise deliquescent alkaline earth halide (SrI, BaI) cores protected with stable non-hygroscopic (SrF, BaF) shells.",[Marek A. Osinski][Nathan J. Withers][Brian A. Akins][Gennady A. Smolyakov][Krishnaprasad Sankar],[],"This application is a continuation-in-part of copending application Ser. No. 12/383,953 filed Mar. 30, 2009, and claims benefits and priority of provisional application Ser. No. 61/072,636 filed Mar. 31, 2008 and of provisional application Ser. No. 61/046,035 filed Apr. 18, 2008, the disclosures of all of which are incorporated herein by reference.",20090417,The invention was with government support under National Science Foundation under Grants IIS-0610201 and CBET-0736241 awarded by the National Science Foundation. The government has rights in the invention.,12383953,12386503,"",""
12301245,20100107,20100001235,CONSTRUCTION OF QUANTUM DOTS VIA A REGIOSELECTIVE DENDRITIC FUNTIONALIZED CELLULOSE TEMPLATE,"The invention is directed to quantum dot nanoparticles and methods of preparation. Using regioselective dendritic functionalized cellulose, quantum dots may be embedded in the modified cellulosic material. The quantum dot nanoparticles provide use for biotechnology or biomedicinal applications. Photooptical properties and morphology for use in as well as its biocompatibility were investigated.",[George R. Newkome][Charles N. Moorefield],[THE UNIVERSITY OF AKRON],"",20070523,"This invention was made with government support under cooperative agreements awarded by the National Science Foundation (DMR-0196231, DMR-0401780, CHE-0420987), and the Air Force Office of Scientific Research (F49620-02-1-0428,02). The government may have certain rights to the invention.","","",20081118,PCT/US07/69504
12162840,20100107,20100001256,White light emitting devices,A white light emitting semiconductor nanocrystal includes a plurality of semiconductor nanocrystals.,[Seth A. Coe-Sullivan][Vladimir Bulovic][Jonathan Steckel][Moungi G. Bawendi][Polina O. Anikeeva][Jonathan E. Halpert],[MASSACHUSETTS INSTITUTE OF TECHNOLOGY],"This application claims priority to U.S. Application No. 60/773,119, filed Feb. 14, 2006 and U.S. Application No. 60/828,909, filed Oct. 10, 2006, each of which is incorporated by reference in its entirety.",20070214,The U.S. Government may have certain rights in this invention pursuant to Grant Number DAAD-19-02-0002 from the U.S. Army Research Office through the Institute for Soldier Nanotechnologies and Grant Number DMR 0213282 from the National Science Foundation.,"","",20090903,PCT/US07/03677
12437051,20100107,20100001616,High Precision Silicon-on-Insulator MEMS Parallel Kinematic Stages,"MEMS stages comprising a plurality of comb drive actuators provide micro and up to nano-positioning capability. Flexure hinges and folded springs that operably connect the actuator to a movable end stage provide independent motion from each of the actuators that minimizes unwanted off-axis displacement, particularly for three-dimensional movement of a cantilever. Also provided are methods for using and making MEMS stages. In an aspect, a process provides a unitary MEMS stage made from a silicon-on-insulator wafer that avoids any post-fabrication assembly steps. Further provided are various devices that incorporate any of the stages disclosed herein, such as devices requiring accurate positioning systems in applications including scanning probe microscopy, E-jet printing, near-field optic sensing, cell probing and material characterization.",[Placid M. FERREIRA][Jingyan DONG][Deepkishore MUKHOPADHYAY],"","This application claims the benefit of U.S. Provisional Application No. 61/051,298, filed May 7, 2008, herein incorporated by reference to the extent not inconsistent with the present disclosure.",20090507,This invention was made at least in part from the United States government through the National Science Foundation grant nos. 0328162 and 0422687. The U.S. government has certain rights in this invention.,"","","",""
12496019,20100107,20100001882,Methods and Device for Landing Aircraft,"A technique for landing aircraft using an aircraft landing accident avoidance device is disclosed. The technique includes determining at least two probability distribution functions; determining a safe lower limit on a separation between a lead aircraft and a trail aircraft on a glide slope to the runway; determining a maximum sustainable safe attempt-to-land rate on the runway based on the safe lower limit and the probability distribution functions; directing the trail aircraft to enter the glide slope with a target separation from the lead aircraft corresponding to the maximum sustainable safe attempt-to-land rate; while the trail aircraft is in the glide slope, determining an actual separation between the lead aircraft and the trail aircraft; and directing the trail aircraft to execute a go-around maneuver if the actual separation approaches the safe lower limit. Probability distribution functions include runway occupancy time, and landing time interval and/or inter-arrival distance.",[Babak Ghalebsaz Jeddi],"","This application claims the benefit of U.S. Provisional Patent Application No. 61/077,230, filed Jul. 1, 2008, which is herein incorporated by reference.",20090701,"This invention was made in part with government support under Grant Numbers NASA Grant 200932, 200833, Nas1-02117, and NSF 200621 awarded by the National Aeronautics and Space Administration. The Government may have certain rights in the invention.","","","",""
12296627,20100107,20100001901,Apparatus and Method for Compressive Sensing Radar Imaging,Method and apparatus for developing radar scene and target profiles based on Compressive Sensing concept. An outgoing radar waveform is transmitted in the direction of a radar target and the radar reflectivity profile is recovered from the received radar wave sequence using a compressible or sparse representation of the radar reflectivity profile in combination with knowledge of the outgoing wave form. In an exemplary embodiment the outgoing waveform is a pseudo noise sequence or a linear FM waveform.,[Richard G. Baraniuk][Theo P.H. Steeghs],"","The present application claims the benefit of the filing date of U.S. Provisional Application Ser. No. 60/791,323 Att'y Docket No. 5042.011P, entitled &#x201C;Compressive Sensing for Radar&#x201D; and filed on Apr. 12, 2006 by inventors Richard G. Baraniuk and Phillipe Steeghs.The above cross-referenced related application is hereby incorporated by reference herein in its entirety.",20070412,The present invention was developed with funding under the following grants: NSF CCF-0431150; ONR N00014-06-1-0769; and DARPA N66001-06-1-2011.,"","",20090826,PCT/US07/66573
12522262,20100107,20100002154,POLARIZED HEAD-MOUNTED PROJECTION DISPLAY,"An image display system and associated method for image displaying The system includes an image source configured to generate image light, projection optics configured to project the image light, and a polarizing beam splitter optically coupled to the projection optics and configured to propagate into a first optical path first polarized light having a first polarization and to propagate into a second optical path second polarized light having a second polarization The system includes a quarter wave converter disposed in the first optical path and configured to rotate the first polarization by a quarter phase as the first polarized light first passes through the quarter wave converter, and includes a reflective screen disposed in the first optical path and configured to reflect rotated first polarized light from the quarter wave converter back through the quarter wave converter for further quarter phase rotation.",[Hong Hua],[The AZ Bd of Regents on Behalf of the Univ. of AZ],"This invention is related to and claims priority to U.S. Ser. No. 60/880,980, entitled &#x201C;Design of a Bright Polarized Head-Mounted Projection Display,&#x201D; filed Jan. 18, 2007. The entire contents of U.S. Ser. No. 60/880,980 are incorporated herein by reference.",20080118,This invention was made with government support under IIS0534777 awarded by the National Science Foundation. The government has certain rights in the invention.,"","",20090707,PCT/US08/51453
12398811,20100107,20100002402,Stretchable and Foldable Electronic Devices,"Disclosed herein are stretchable, foldable and optionally printable, processes for making devices and devices such as semiconductors, electronic circuits and components thereof that are capable of providing good performance when stretched, compressed, flexed or otherwise deformed. Strain isolation layers provide good strain isolation to functional device layers. Multilayer devices are constructed to position a neutral mechanical surface coincident or proximate to a functional layer having a material that is susceptible to strain-induced failure. Neutral mechanical surfaces are positioned by one or more layers having a property that is spatially inhomogeneous, such as by patterning any of the layers of the multilayer device.",[John A. Rogers][Yonggang Huang][Heung Cho Ko][Mark Stoykovich][Won Mook Choi][Jizhou Song][Jong Hyun Ahn][Dae Hyeong Kim],"","This application claims benefit of U.S. Provisional Patent App. Nos. 61/033,886, filed Mar. 5, 2008, 61/061,978 filed Jun. 16, 2008, and 61/084,045 filed Jul. 28, 2008, each of which are specifically incorporated by reference herein to the extent not inconsistent with the present application.",20090305,"This invention was made at least in part with U.S. government support under DMI-0328162 and ECCS-0824129 awarded by the National Science Foundation and under DEFG02-91 ER45439, DEFG02-07ER46471 and DEFG02-07ER46453 awarded by the Department of Energy. The U.S. government has certain rights in the invention.","","","",""
12418701,20100107,20100002581,Method for Inter-Router Dual-Function Energy- and Area-Efficient Links for Network-on-Chips,The present invention provides methods for connecting routers and transmitting data along inter-router links within Nework-on-Chip (NoC) architectures.,[Ahmed Louri][Janet Meiling Wang Roveda][Avinash K. Kodi][Ashwini Sarathy],[The Arizona Board of Regents on Behalf of The University of Arizona],"The present patent application claims priority under 35 U.S.C. &#xA7; 119(e) to U.S. Provisional Patent Application Ser. No. 61/123,022 filed on Apr. 4, 2008, the entirety of which is herein incorporated by reference.",20090406,This invention was made with government support under contract number 0725765 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
12496863,20100107,20100002583,Systems And Methods For Modeling A Mobile Ad Hoc Wireless Network,"Systems and methods for modeling a mobile ad hoc wireless network are disclosed herein. In some embodiments of the disclosed subject matter, methods for modeling a mobile ad hoc wireless network for a predetermined geographical area. An exemplary method includes dividing the geographic area into a network grid including a plurality of network grid elements, locating obstacles, if any, to communication between transmission nodes located in at least two different grid elements from the plurality of network grid elements, locating bottlenecks within the plurality of network grid elements, locating network grid elements from the plurality of network grid elements where wireless transmission is unconstricted, determining a transmission flow rate across the bottlenecks, and comparing the transmission flow rate across the bottlenecks to determine if any of the bottlenecks are not real bottlenecks.",[Nicholas F. Maxemchuk][Congzhou Zhou],"","This application is a continuation of International Application PCT/US08/058,474, filed Mar. 27, 2008, which claims priority to U.S. Provisional Application Ser. No. 60/908,288, filed Mar. 27, 2007, and U.S. Provisional Application Ser. No. 60/938,812, filed May 18, 2007, the contents of which are incorporated by reference in their entireties herein.",20090702,This invention was made with government support under CNS-05-19663 awarded by the National Science Foundation. The government has certain rights in the invention.,PCT/US08/58474,12496863,"",""
12437818,20100107,20100002739,LENS COUPLED QUANTUM CASCADE LASER,"Terahertz quantum cascade (QC) devices are disclosed that can operate, e.g., in a range of about 1 THz to about 10 THz. In some embodiments, QC lasers are disclosed in which an optical element (e.g., a lens) is coupled to an output facet of the laser's active region to enhance coupling of the lasing radiation from the active region to an external environment. In other embodiments, terahertz amplifier and tunable terahertz QC lasers are disclosed.",[Qing Hu][Alan W. Lee],[MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)],"The present application claims priority to a provisional application entitled &#x201C;Lens coupled quantum cascade laser&#x201D; filed on May 8, 2008 and having a Ser. No. 61/051,582, which is herein incorporated by reference.",20090508,"This invention was made with Government support under grant NNX07A199G by NASA, grant FA9550-06-1-0462 by AFOSR, and grant ECSO500925 by NSF. The Government has certain rights in the invention.","","","",""
12525226,20100107,20100003158,VIBRATORY POWDER CONSOLIDATION,"A vibratory powder consolidation process is provided in which a powder material is subjected to vibratory energy while under static compressive loading. The process provides rapid, full-density powder consolidation with minimum or no structural degradation.",[Teiichi Ando][Ibrahim E. Gunduz][Peter Y. Wong][Charalabos C. Doumanidis],[NORTHEASTERN UNIVERSITY][TUFTS UNIVERSITY],"This application claims the benefit under 35 U.S.C. &#xA7; 119(e) of U.S. Provisional Application No. 60/921,576, filed Jan. 30, 2007, the disclosure of which is incorporated by reference herein.",20080130,This invention was made under National Science Foundation Grant No. DMI0423228. The Government may have certain rights in this invention.,"","",20090730,PCT/US08/01259
