appno,pubdate,pubnum,title,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
11961928,20090101,20090000192,"APPARATUS WITH HIGH SURFACE AREA NANOSTRUCTURES FOR HYDROGEN STORAGE, AND METHODS OF STORING HYDROGEN",Method and apparatus for storing hydrogen. One embodiment of such a method comprises providing a storage apparatus having a substrate and a nanostructure mat on at least a portion of a side of the substrate. The nanostructure mat comprises a plurality of nanostructures having a surface ionization state which causes more than one layer of hydrogen to adsorb onto the nanostructures. The method can also include exposing the nanostructure mat to hydrogen such that more than one layer of hydrogen adsorbs onto the nanostructures.,[Grant Norton][David McllRoy],"[Washington State University Research Foundation][Idaho Research Foundation, Inc.]","The present application claims the benefit of U.S. Provisional Application No. 60/876,646, filed on Dec. 22, 2006, and the present application is a continuation-in-part of International Application No. PCT/US06/024435, filed on Jun. 23, 2006, and entitled Method for Manufacturing and Coating of Nanostructured Components, which claims the benefit of U.S. Provisional Application Nos. 60/744,733 filed on Apr. 12, 2006 and 60/693,683 filed on Jun. 24, 2005, all of which are incorporated herein by reference.",20071220,"The invention was funded, in part, by the National Science Foundation under Idaho EPSToR grant EPS0132626. The United States government has certain rights in the invention.",PCT/US06/24435,11961928,"",""
12034365,20090101,20090000364,ELECTROCHEMICAL DEPOSITION PLATFORM FOR NANOSTRUCTURE FABRICATION,"Probe-based methods are provided for formation of one or more nano-sized or micro-sized elongated structures such as wires or tubes. The structures extend at least partially upwards from the surface of a substrate, and may extend fully upward from the substrate surface. The structures are formed via a localized electrodeposition technique. The electrodeposition technique of the invention can also be used to make modified scanning probe microscopy probes having an elongated nanostructure at the tip or conductive nanoprobes. Apparatus suitable for use with the electrodeposition technique are also provided.",[Min-Feng Yu],"","This application claims the benefit of U.S. Provisional Application 60/890,787, filed Feb. 20, 2007, which is hereby incorporated by reference to the extent not inconsistent with the disclosure herein.",20080220,This invention was made with government support under grant DMI-0328162 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
10465535,20090101,20090000474,GAS STORAGE MATERIALS AND DEVICES,"The invention provides a porous metal-organic framework that can be used to store gases, such as hydrogen. Also provided is metal-organic framework comprising bifunctional metallic bridging groups and organic nodes having three or more points of connection, wherein the framework has one or more cavities suitable for containing one or more storage gas molecules. The invention further provides a metal-organic framework comprising organic functional groups directed into the one or more cavities that are capable of reacting with a storage gas.",[Leonard R. MacGillivray],"","This application claims priority under 35 U.S.C. 119(e) from U.S. Provisional Application Ser. No. 60/389,828 filed Jun. 19, 2002, which application is incorporated herein by reference.",20030619,The invention described herein was made with government support under Grant Number DMR-0133138 awarded by the National Science Foundation. The United States Government has certain rights in the invention.,"","","",""
12133606,20090101,20090000678,MICROCAPILLARY NETWORKS,"Devices that include hosts having internal microcapillary networks are disclosed. The microcapillary networks are formed from interconnected passageways. The interconnected passageways may be formed by removing a fugitive material from a cured host material that forms the host. The resultant host material has many applications, including use as a microfluidic device in applications ranging from fluid mixing to structural repair.",[Daniel Therriault][Jennifer A. Lewis][Scott R. White],"","This application claims the benefit of U.S. Provisional Application No. 60/413,985, entitled &#x201C;Microcapillary Networks,&#x201D; filed on Sep. 26, 2002, which is hereby incorporated by reference herein in its entirety.",20080605,This application was funded in part under the following research grants and contracts: AFOSR Aerospace and Materials Science Directorate Grant No. F49620-00-1-0094 and NSF DMI Grant No. 00-99360. The U.S. Government may have rights in this invention.,11558084,12133606,"",""
12050780,20090101,20090001325,POLYMER COMPOSITES HAVING HIGHLY DISPERSED CARBON NANOTUBES AND METHODS FOR FORMING SAME,"A method of forming carbon nanotube-polymer composites includes the steps of forming a mixture solution including a plurality of carbon nanotubes dispersed in a co-solvent. The co-solvent includes an organic solvent and a second solvent being a short chain fluorinated carboxylic acid having a boiling point below 150° C. which is less oxidizing than nitric acid, and is soluble in both the organic solvent and water. The first polymer is mixed with the mixture solution to form a polymer including mixture. The co-solvent is removed from the polymer mixture to form a dispersed nanotube-polymer composite. The second solvent can be trifluoroacetic acid.",[Qun Huo][Saiful Khondaker][Jianhua Zou][Lei Zhai][Hui Chen][Harish Muthuraman],"","The present application claims the benefit of U.S. provisional patent application No. 60/895,573 entitled &#x201C;HIGHLY DISPERSED CARBON NANOTUBES POLYMER COMPOSITES AND METHODS FOR FORMING&#x201D; filed on Mar. 19, 2007, which is incorporated by reference in its entirety into the present application.",20080318,The U.S. Government may have certain rights to embodiments of the invention based on National Science Foundation NIRT award (DMI 0506531) and NER award (CBET 0608870).,"","","",""
12124952,20090101,20090001802,Extraction of Actinides From Mixtures and Ores Using Dendritic Macromolecules,"A novel class of dendritic macromolecules is provided having a core, a hyperbranched structure, and a plurality of units satisfying the formula —NR(C═O)R, in which Ris not a continuation of the hyperbranched structure. Methods of preparing these dendritic macromolecules are also provided, as well as methods of using dendritic macromolecules, including those described above, in separation processes or as part of in situ leach mining processes. A class of facilities for in situ leach mining is also provided.",[Mamadou S. Diallo][Jean Frechet][Emine Boz],"","This application claims the benefit of priority from U.S. Provisional Application No. 60/931,306, filed May 21, 2007, entitled &#x201C;In-Situ Leach Mining with Dendrimer-Assisted Filtration.&#x201D;",20080521,The United States Government may have certain rights in this application pursuant to Grant CBET # 0506951 awarded by the National Science Foundation.,"","","",""
12127725,20090101,20090002808,Nonlinear Chirped Pulse Fiber Amplifier With Pulse Compression,"A chirped-pulse fiber amplification method and system operates with large nonlinear phase shifts (as large as ˜20π or more). In this regime, the pulse spectrum is modified by strong self-phase modulation and gain shaping. With large-enough nonlinear phase shift, substantial spectral broadening occurs. The amplified spectrum can therefore be much broader than the spectrum that is obtained with small nonlinear phase shifts. The broader spectrum enables the formation of a shorter pulse, and the bandwidth generated in nonlinear chirped-pulse amplification can in fact be exploited to generate shorter pulses. Ultimately, this allows the generation of pulses shorter than the gain-narrowing limit of a fiber amplifier.",[Frank W. Wise][Lyuba Kuznetsova][Chin Yu Chong],"","This application claims the benefit, under 35 U.S.C. 119(e), of U.S. Provisional Application No. 60/940,076, filed May 25, 2007, which is hereby incorporated by reference in its entirety.",20080527,This invention was made with Government support from the National Science Foundation under Contract No. ESC-0500596. The Government has certain rights in the invention.,"","","",""
12209143,20090101,20090003483,Detector and Method for Estimating Data Probability in a Multi-Channel Receiver,A detector and method for estimating channel data probability in a multi-user or multiple-input multiple-output communication system includes summing conditional bit probabilities conditioned on hypothetical channel data patterns over stochastically selected hypothetical channel data patterns. Various detailed hardware structures and circuits are also described.,[Behrouz Farhang-Boroujeny][Haidong Zhu][Zhenning Shi][Stephen Andrew Laraway],[],"This application is a continuation of U.S. application Ser. No. 11/177,938 filed on 7 Jul. 2005, currently pending, which claims the benefit of U.S. Application No. 60/586,360 filed on 7 Jul. 2004, each of which is incorporated by reference herein.",20080911,This invention was made with government support under NSF Grant # ECS0121389 awarded by the National Science Foundation. The Government has certain rights to this invention.,11177938,12209143,"",""
12169173,20090101,20090003783,SUBWAVELENGTH-DIAMETER SILICA WIRES FOR LOW-LOSS OPTICAL WAVEGUIDING,"The present invention provides nanometer-sized diameter silica fibers that exhibit high diameter uniformity and surface smoothness. The silica fibers can have diameters in a range of a about 20 nm to about 1000 nm. An exemplary method according to one embodiment of the invention for generating such fibers utilizes a two-step process in which in an initial step a micrometer sized diameter silica preform fiber is generated, and in a second step, the silica preform is drawn while coupled to a support element to form a nanometer sized diameter silica fiber. The portion of the support element to which the preform is coupled is maintained at a temperature suitable for drawing the nansized fiber, and is preferably controlled to exhibit a temporally stable temperature profile.",[Eric Mazur][Limin Tong][Rafael Gattass],[PRESIDENT AND FELLOWS OF HARVARD COLLEGE],"This application claims priority to a provisional application entitled &#x201C;Subwavelength-diameter silica wires for low-loss optical waveguiding&#x201D; having a Ser. No. 60/530,467 and filed on Dec. 16, 2003.",20080708,The invention was made with Government support under contract PHY-0117795 awarded by National Science Foundation (NSF). The Government has certain rights in the invention.,11013198,12169173,"",""
11962067,20090101,20090004656,THERMOSTABLE POLYMERASES HAVING ALTERED FIDELITY AND METHODS OF IDENTIFYING AND USING SAME,"The present invention provides a method for identifying a thermostable polymerase having altered fidelity. The method consists of generating a random population of polymerase mutants by mutating at least one amino acid residue of a thermostable polymerase and screening the population for one or more active polymerase mutants by genetic selection. For example, the invention provides a method for identifying a thermostable polymerase having altered fidelity by mutating at least one amino acid residue in an active site O-helix of a thermostable polymerase. The invention also provides thermostable polymerases and nucleic acids encoding thermostable polymerases having altered fidelity, for example, high fidelity polymerases and low fidelity polymerases. The invention additionally provides a method for identifying one or more mutations in a gene by amplifying the gene with a high fidelity polymerase. The invention further provides a method for accurately copying repetitive nucleotide sequences using a high fidelity polymerase mutant. The invention also provides a method for diagnosing a genetic disease using a high fidelity polymerase mutant. The invention further provides a method for randomly mutagenizing a gene by amplifying the gene using a low fidelity polymerase mutant.",[Lawrence A. Loeb][Leroy Hood][Motoshi Suzuki],[THE UNIVERSITY OF WASHINGTON],"This application claims the benefit of priority of U.S. Provisional Application Ser. No. 60/031,496, filed Nov. 27, 1996, the entire contents of which is incorporated herein by reference.",20071220,This invention was made with government support under grant number OIG-R35-CA-39903 awarded by the National Institutes of Health and grant number BIR9214821 awarded by the National Science Foundation. The government has certain rights in the invention.,11096645,11962067,"",""
