appno,pubdate,pubnum,title,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
11937125,20110106,20110001067,FIBER OPTIC WEB EDGE SENSOR,A web edge sensor is disclosed. The web edge sensor has a light source directing light incident to an edge of a web. The edge of the web scatters the light and a sensor array that detects a first portion of the light scattered from the edge of the web and rejects a second portion to determine a position of the web edge.,[Prabhakar R. Pagilla][Aravind Seshadri],[THE BOARD OF REGENTS FOR OKLAHOMA STATE UNIVERSITY],"This application claims the benefit of prior filed U.S. Provisional Patent Application No. 60/865,000 entitled &#x201C;FIBER OPTIC WEB EDGE SENSOR,&#x201D; filed Nov. 9, 2006, the contents of which are hereby incorporated by reference.",20071108,This invention was made with government support under contract CMS 0428397 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
12865182,20110106,20110001473,ELECTROMAGNETIC WAVE DETECTION METHODS AND APPARATUS,"Methods and apparatus for detecting an electromagnetic wave are provided. A device for use in an electromagnetic wave detector includes a first device layer having a first contact, a second device layer having a second contact, and a tunnel barrier layer and a resonating magnetic layer formed between the first and second device layers. The resonating magnetic layer produces a spin current responsive to an electromagnetic wave that extends into the first and second device layers. A charge differential present between the first and second contacts is dependent on the spin current.",[Takahiro Moriyama][John Q. Xiao],[UNIVERSITY OF DELAWARE],"This application is related to and claims the benefit of U.S. Provisional Application No. 61/028,286 entitled ELECTROMAGNETIC WAVE DETECTION METHODS AND APPARATUS filed on Feb. 13, 2008, the contents of which are incorporated herein by reference.",20090203,The National Science Foundation provided funding under DMR Grant No. 0405136. The government may have rights to this invention.,"","",20100811,PCT/US09/32945
12886320,20110106,20110001980,OPTICAL PHASE PROCESSING IN A SCATTERING MEDIUM,"An optical phase processing system for a scattering medium. A first beam has a direction and a wavefront and the first beam is configured to enter a holographic recording medium. A scattering medium is illuminated by a signal beam generating at least one scattered beam. An interference pattern is recorded from the at least one scattered beam and the first beam. A second beam is generated in a direction opposite to the direction of the first beam, the second beam having a wavefront and a phase substantially opposite to a phase of the wavefront of the first beam, and the second beam is configured to enter the holographic recording medium. The second beam and the interference pattern interact to generate at least one reconstructed beam having a phase substantially opposite to a phase of the at least one scattered beam, and the at least one reconstructed beam is configured to be viewable through the scattering medium.",[Zahid Yaqoob][Emily McDowell][Changhuei Yang],[CALIFORNIA INSTITUTE OF TECHNOLOGY],"This Application claims priority to U.S. Provisional Application No. 60/850,356; filed Oct. 6, 2006; titled &#x201C;Turbidity Elimination using Optical Phase Conjugation and its Applications.&#x201D;",20100920,"This invention was funded by the United States government. The U.S. Government has certain rights in this invention pursuant to Grant No. BES-0547657 awarded by the National Science Foundation. References cited within this application, including patents, published patent applications other publications, and U.S. Provisional Application No. 60/850,356; filed Oct. 6, 2006 are hereby incorporated by reference in their entirety.",11868394,12886320,"",""
12881089,20110106,20110002236,OPTIMIZATION OF STREAMING DATA THROUGHPUT IN UNRELIABLE NETWORKS,"Multiple TRFC connections transport streaming data through a wireless channel, and the difference between measured round trip times of packets and minimum round trip time is used to adjust the number of TFRC connections to fully utilize bandwidth through the wireless channel.",[Minghua Chen][Avideh Zakhor],"","This application is a division of and claims priority to pending U.S. patent application Ser. No. 11/147,788, filed Jun. 7, 2005, by Chen et al. and entitled &#x201C;Optimization Of Streaming Data Throughput In Unreliable Networks,&#x201D; which claims priority under 35 U.S.C. &#xA7;119 of U.S. Provisional Application Ser. No. 60/583,926, filed Jun. 28, 2004, by Chen et al. and entitled &#x201C;System for Streaming Digital Content Over Lossy Physical Link Using Multiple TFRC Connections,&#x201D; all of which are incorporated herein by reference in their entirety.",20100913,The technology described herein was funded by grants from the Department of the Air Force Contract Number F49620-00-1-0327 and the National Science Foundation Contract No. ANI-9905799. The Government has certain rights to this technology.,11147788,12881089,"",""
12496474,20110106,20110002573,OPTICAL ISOLATION CREATED BY INDIRECT INTERBAND PHOTONIC TRANSITIONS,"The refractive index of the at least one photonic structure having two separate photonic bands is modulated, so that light supplied to the at least one photonic structure and initially in one of the two photonic bands of the traveling along a forward direction in the at least one photonic structure is converted to light in a second one of the photonic bands, and light in the one photonic band traveling along a backward direction opposite to the forward direction in the at least one photonic structure is not converted and remains in the one photonic band, achieving non-reciprocity. An interferometer comprises a first and a second photonic structure coupled at two coupler regions. The first photonic structure has two separate photonic bands. The refractive index of the first photonic structure is modulated, so that light supplied to the first photonic structure and initially in a first one of the photonic bands traveling along a forward direction in the at least first photonic structure is converted to light in a second one of the photonic bands, and light in the first photonic band traveling along a backward direction opposite to the forward direction in the at least first photonic structure is not converted and remains in the first photonic band. Light supplied to a first end of the first photonic structure and initially in the first photonic band traveling along a forward direction in the photonic structures will pass to a second end of the first photonic structure, and light supplied to the second end of the first photonic structure and traveling along a backward direction in the photonic structures will pass to an end of the second photonic structure.",[Zongfu Yu][Shanhui Fan],[The Board of Trustees of the Leland Stanford Junior University],"",20090701,This invention was made with support from the United States Government under grant number NSF (Grant No. ECS-0622212). The United States Government has rights in this invention.,"","","",""
12596709,20110106,20110002574,Optical Devices Having Controlled Nonlinearity,"An optical device is provided having a solid state nonlinear material with a nanostructured extent, in at least one dimension, that is less than about 10 nm or that is at a temperature of less than about 77 K. An electronic band gap, E, of the material is at least about twice as large as an energy of a photon with a wavelength, λ, equal to an operational wavelength of the device. The material is characterized by a switching figure of merit, ξ, having a value that is at least about 2π. A dielectric structure is around at least one dimension of the nonlinear material in a geometric arrangement having a characteristic photonic band gap that at least partially overlaps the electronic band gap of the material. At least one waveguide is disposed at the dielectric structure in sufficient proximity with the material for coupling light to the material.",[Peter Bermel][Alejandro Rodriguez][Marin Soljacic][John Joannopoulos],[MASSACHUSETTS INSTITUTE OF TECHNOLOGY],"This application claims the benefit of U.S. Provisional Application No. 60/927,304, filed May 2, 2007, the entirety of which is hereby incorporated by reference.",20080501,"This invention was made with Government support under Contract No. DMR02-13282 awarded by NSF, Contract No. DE-FG02-97ER25308 awarded by DOE; and Contract No. DAAD-19-02-D0002 awarded by ARO. The Government has certain rights in the invention.","","",20100915,PCT/US08/05614
12919119,20110106,20110002844,STABILIZATION OF MACROMOLECULAR MEMBRANES,"Disclosed are stabilized polymersomes having layer structures. Such stabilized polymersomes are, in some embodiments, biocompatible, and are capable of enhanced, sustained release of agents. Also disclosed are related methods for synthesizing such stabilized polymersomes and methods for using such polymersomes for delivery of therapeutic, imaging, and various other agents.",[Joshua S. Katz][Jason A. Burdick][Daniel A. Hammer],[The Trustees of the University of Pennsylvania],"This application claims priority to U.S. Application Ser. No. 61/037,087, filed on Mar. 17, 2008, the entirety of which is incorporated herein by reference.",20090211,The government may have certain rights in the claimed invention. This work was supported by National Science Foundation grant NSF DMR-05-20020.,"","",20100916,PCT/US09/33722
12831910,20110106,20110002874,Polymer Network Compositions and Associated Methods,"Biomimetic polymer networks comprising a heteropolymer network having a cavity, the cavity having a selective affinity for a moiety, methods for making biomimetic polymer networks, and methods for using biomimetic polymer networks.",[Nicholas A. Peppas][James Z. Hilt][Mark E. Byrne],"[BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM]","This Application claims the benefit under 35 U.S.C &#xA7;119 of U.S. Provisional Application No. 60/675,811, filed Apr. 28, 2005.",20100707,"This disclosure was developed at least in part using funding from the National Science Foundation, Grant Numbers CTS-03-29317 and DGE-03-33080, and National Institutes of Health, Grant Number EB000246-13A. The U.S. government may have certain rights in the invention.",11380803,12831910,"",""
12741021,20110106,20110003897,METHODS OF ENGINEERING POLAR DRUG PARTICLES WITH SURFACE-TRAPPED HYDROFLUOROALKANE-PHILES,Disclosed herein are polar drug particles with surface-trapped hydrofluoroalkane-philes and methods of making the same.,[Sandro R.P. Da Rocha][Libo Wu],[WAYNE STATE UNIVERSITY],"This application is a 371 national phase of International Application No. PCT/US2008/082105 filed Oct. 31, 2008, which is a non-provisional of U.S. Provisional Application No. 60/984,973 filed on Nov. 2, 2007, the entire disclosures of which are incorporated herein by reference.",20081031,"This work was partially funded by National Science Foundation grant NSF-CBET No. 0553537, and the United States government has, therefore, certain rights to the present invention.","","",20100914,PCT/US2008/082105
12496535,20110106,20110003949,Catalytic Polymerization of Polymers Containing Electrophilic Linkages Using Nucleophilic Reagents,"The disclosure relates to methods and materials useful for polymerizing a monomer. In one embodiment, for example, the disclosure provides a method for polymerizing a monomer containing a plurality of electrophilic groups, wherein the method comprises contacting the monomer with a nucleophilic reagent in the presence of a guanidine-containing catalyst. The methods and materials of the disclosure find utility, for example, in the field of materials science.",[James Lupton Hedrick][Russell Clayton Pratt][Robert M. Waymouth],"","",20090701,"This invention was made in part with Government support under a grant from the US National Science Foundation, grant no. NFS-CHE 0645891. Accordingly, the Government may have certain rights to this invention.","","","",""
