patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
07862652,20110104,Directional self-assembly of biological electrical interconnects,11418817,20070059727,20070315,"Microtubules are excellent candidates for the fabrication of nanostructures, including nanowires. A method for controlled nucleation and growth of microtubules on substrates (e.g., gold on a silicon wafer) is provided. The substrate is functionalized with a nucleating agent for microtubule growth. The method can be employed to generate nanoscale structures on substrates or between substrates by additional attachment of MT capture agents which function to capture the ends of growing MT to form connecting MT structures. The method can be used to form 2- and 3-D structures on or between substrates and can function to establish interconnects between nanoscale devices or molecular electronic devices and electrodes. A specific method for metallization of biological macromolecules and structures in provides which can be beneficially applied to metallized the MT formed by the growth and capture method. The metallization method is biologically benign and is particularly useful for copper metallization of MTs.","[Pierre Deymier][Ian Jongewaard][Almoi Nyls Jongewaard, legal representative][James B. Hoying][Roberto Guzman][Srini Raghavan]",[The Arizona Board of Regents on behalf of the University of Arizona],"This application claims the benefit of U.S. provisional patent application Ser. No. 60/677,734, filed May 4, 2005, the entire contents of which are incorporated by reference herein.",20060504,This invention was funded by the United States Government under National Science Foundation contract No. 0303863. The U.S. government has certain rights in this invention,"","","",""
07862699,20110104,Matrix and dynamic polymer systems and compositions for microchannel separation,11591915,20070108055,20070517,"Matrix polymers and dynamic coating polymers, compositions thereof and related methods, systems and apparatus for microchannel separation.",[Annelise E. Barron][Cheuk Wai Kan][Christopher P. Fredlake],[Northwestern University],"This invention claims priority benefit from application Ser. No. 60/732,398 filed Nov. 1, 2005, the entirety of which is incorporated herein by reference.",20061101,"The United States government has certain rights to this invention pursuant to Grant Nos. 1 R01 HG 019770-01 and DMR-0076097 from the National Institutes of Health and the National Science Foundation, respectively, to Northwestern University.","","","",""
07862849,20110104,Nanocontact printing,10688867,20060141245,20060629,"A method of stamping of molecular patterns and/or devices based on the reversible self-assembly of molecules, particularly organic molecules is disclosed. This method is suitable for the stamping of almost any nanofabricated device and can be used to transferring a large amount of pattern information from one substrate to another at the same time.",[Francesco Stellacci][Arum Amy Yu],[Massachusetts Institute of Technology],"",20031017,"This invention was made in whole or in part with government support under grant number DMI-0303821, awarded by the National Science Foundation. The government may have certain rights in the invention.","","","",""
07862892,20110104,Microspheres including nanoparticles,12262435,20090068820,20090312,"A microparticle can include a central region and a peripheral region. The peripheral region can include a nanoparticle, such as a metal nanoparticle, a metal oxide nanoparticle, or a semiconductor nanocrystal. The microparticle can be a member of a monodisperse population of particles.",[YinThai Chan][John P. Zimmer][Moungi G. Bawendi],[Massachusetts Institute of Technology],"This application is a divisional of U.S. patent application Ser. No. 11/808,476, now U.S. Pat. No. 7,449,237, filed on Jun. 11, 2007, which is a divisional of U.S. patent application Ser. No. 10/898,554, now U.S. Pat. No. 7,229,690, filed on Jul. 26, 2004, which is hereby incorporated by reference in its entirety.",20081031,The U.S. Government may have certain rights in this invention pursuant to Grant No. DMR-98-1328 awarded by the National Science Foundation and Grant No. NSF-CRC CHE-0209898.,11808476,12262435,"",""
07862920,20110104,Charged arrays of micro and nanoscale electrochemical cells and batteries for computer and nanodevice memory and power supply,12762133,"","",A sequence or array of electrochemical cells storing both digital and analog data. Both binary code and codes having a higher base may be stored in the memory device to increase information density. Such battery arrays could also provide power for the micro or nanodevice. Devices are microscale and nanoscale in size and utilize electrically conductive atomic force microscopy tips to record and read data stored in the device.,[Dale Teeters][Anthony Layson][Christina Dewan],[The University of Tulsa],"This application is a divisional application of U.S. patent application Ser. No. 10/913,918, filed Aug. 6, 2004, now U.S. Pat. No. 7,704,615, which is based on U.S. Provisional Patent Application No. 60/493,313 filed Aug. 7, 2003 and entitled &#x201C;Charged Arrays of Micro and Nanoscale Electrochemical Cells and Batteries For Computer and Nanodevice Memory and Power Supply&#x201D;.",20100416,"This invention was made with U.S. Government support under the Department of the Navy, Office of Naval Research contract N00014-01-1-0724 and the National Science Foundation contract EPS-0132534 awarded by the Department of Defense and the National Science Foundation. The U.S. Government has certain rights in the invention.",10913918,12762133,"",""
07863030,20110104,Regio- and enantioselective alkane hydroxylation with modified cytochrome P450,12424454,20090298148,20091203,"Cytochrome P450 BM-3 from was engineered using a combination of directed evolution and site-directed mutagenesis to hydroxylate linear alkanes regio- and enantioselectively using atmospheric dioxygen as an oxidant. Mutant 9-10A-A328V hydroxylates octane primarily at the 2-positio to form S-2-octanol (40% ee). Another mutant, 1-12G, hydroxylates alkanes larger than hexane primarily at the 2-position, but forms R-2-alcohols (40-55% ee). These biocatalysts are highly active for alkane substrates and support thousands of product turnovers. These regio- and enantio-selectivities are retained in whole-cell biotransformations with , where the engineered P450s can be expressed at high levels and the expensive cofactor is supplied endogenously.",[Frances H Arnold][Matthew W Peters][Peter Meinhold],[The California Institute of Technology],"This Application is a continuation of U.S. application Ser. No. 10/869,825, filed Jun. 15, 2004, now U.S. Pat. No. 7,524,664 which application claims priority to U.S. Provisional Application No. 60/479,126 filed Jun. 17, 2003, herein incorporated by reference in its entirety.",20090415,This invention was made with government support under Grant Number BES 9981770 awarded by National Science Foundation. The government has certain rights in the invention.,10869825,12424454,"",""
07863038,20110104,Implantable biosensor from stratified nanostructured membranes,10403845,20040023317,20040205,"A new class of biosensors and methods for making and using same are disclosed. The biosensors are multi-layered membrane composites, where at least one layer is prepared by the layer-by-layer process and at least one layer is responsive to changes is a property of a biological system such as changes in the concentration of an atom, ion, molecule or molecular assembly. Because the biosensors are multi-layered, a single biosensor is capable monitor a number of different properties of a biological system simultaneously. The biosensors are monitored by systems that impinge an excitation waveform on the biosensors and analyze a reflected and/or a transmitted resultant waveform. Additionally, the biosensors can be associated with field activated electronic components so that implantable, self-contained analytical devices can be constructed and monitored by field generators, where data is transmitted to an analyzer after field activation.",[Massoud Motamedi][Nicholas A. Kotov][James P. Wicksted][Rinat Esenaliev],"[Board of Regents, The University of Texas System]","This application claims provisional priority to U.S. Provisional Patent Application No. 60,368,921 filed Mar. 29, 2002.",20030331,"Portions of the subject matter contained in this application was funded under one or more of the following governmental grants: NSF CAREER (CHE-9876265), AFOSR (F49620-99-C0072), NSF/NATO (NSF-NATO Grant # DGE-9902637), NSF Biophotonics Initiative (BES-0119483), and OCAST (AR99(2)-026), and NIH R21DK58380.","","","",""
07863603,20110104,Cross-linked organic thin-film dielectrics,11781725,"","","Cross-linked dielectric layers are facilitated. According to an example embodiment, an organic polymer is mixed with a reaction-stabilized cross-linking material. The organic polymer is cross-linked with the reaction-stabilized cross-linking material to form a dielectric layer.",[Zhenan Bao][Mark E. Roberts],[The Board of Trustees of the Leland Stanford Junior University],"This patent document claims the benefit, under 35 U.S.C. &#xA7;119(e), of U.S. Provisional Patent Application No. 60/832,838 filed Jul. 24, 2006, entitled: &#x201C;Cross-Linked Organic Thin-Film Dielectrics&#x201D; and which is fully incorporated herein by reference.",20070723,This invention was made with Government support under contract 0213618 awarded by the National Science Foundation. The U.S. Government has certain rights in this invention.,"","","",""
07863798,20110104,Nanocrystal powered nanomotor,11229935,20080197339,20080821,"A nanoscale nanocrystal which may be used as a reciprocating motor is provided, comprising a substrate having an energy differential across it, e.g. an electrical connection to a voltage source at a proximal end; an atom reservoir on the substrate distal to the electrical connection; a nanoparticle ram on the substrate distal to the atom reservoir; a nanolever contacting the nanoparticle ram and having an electrical connection to a voltage source, whereby a voltage applied between the electrical connections on the substrate and the nanolever causes movement of atoms between the reservoir and the ram. Movement of the ram causes movement of the nanolever relative to the substrate. The substrate and nanolever preferably comprise multiwalled carbon nanotubes (MWNTs) and the atom reservoir and nanoparticle ram are preferably metal (e.g. indium) deposited as small particles on the MWNTs. The substrate may comprise a silicon chip that has been fabricated to provide the necessary electrodes and other electromechanical structures, and further supports an atomic track, which may comprise an MWNT.",[Brian C. Regan][Alexander K. Zettl][Shaul Aloni],[The Regents of the University of California],"This Patent Application is a CIP and claims benefit to patent application Ser. No. 11/085,397, filed Mar. 21, 2005, now U.S. Pat. No. 7,341,651 entitled &#x201C;Nanoscale Mass Conveyors,&#x201D; and claims benefit to Provisional Patent Application Ser. 60/615,782, filed Oct. 4, 2004, entitled &#x201C;Nanocrystal Powered Nanomotor&#x201D;, both of which are hereby incorporated by reference.",20050919,This invention was made during work supported by U.S. Department of Energy under Contract No. DE-AC02-05CH11231 and by the National Science Foundation under Grant No. CCR 0210176. The government has certain rights in this invention.,11085397,11229935,"",""
07864006,20110104,MEMS plate switch and method of manufacture,12068586,20080277258,20081113,"Systems and methods for forming an electrostatic MEMS plate switch include forming a deformable plate on a first substrate, forming the electrical contacts on a second substrate, and coupling the two substrates using a hermetic seal. The deformable plate may have a flexible shunt bar which has one end coupled to the deformable plate, and the other end coupled to a contact on the second substrate. Upon activating the switch, the deformable plate urges the shunt bar against a second contact formed in the second substrate, thereby closing the switch. The hermetic seal may be a gold/indium alloy, formed by heating a layer of indium plated over a layer of gold. Electrical access to the electrostatic MEMS switch may be made by forming vias through the thickness of the second substrate.",[John S. Foster][Paulo Silveira da Motta][Alok Paranjpye][Kimon Rybnicek],[Innovative Micro Technology],"This U.S. patent application is a continuation-in-part of U.S. patent application Ser. No. 11/797,924, which is incorporated by reference herein in its entirety.",20080208,Portions of the present invention were made with U.S. Government support under NSF SBIR Grant No. 0637474. The government may have certain rights in this invention.,11797924,12068586,"",""
