patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
08342440,20130101,Miniature robotic vehicle with ground and flight capability,12962310,20110139923,20110616,"Miniature robotic vehicles suitable for a variety of tasks including covert surveillance, reconnaissance, and recreation are provided. Embodiments of the invention may include vehicles having a hybrid transportation system that incorporates a rotary-wing flight mode in conjunction with a wheeled ground transport mode. As a result, exemplary vehicles provide efficient ground-mode travel, with the added ability to fly over large obstacles and rough terrain.","",[Regents of the University of Minnesota],"This application claims the benefit of U.S. Provisional Application No. 61/285,240, filed Dec. 10, 2009, the content of which is incorporated herein by reference in its entirety.",20101207,This invention was made with government support under IIP-0726109 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
08343382,20130101,Band gap control in conjugated oligomers and polymers via Lewis acids,12800904,20110028656,20110203,"A method for altering the electronic and optical properties of a chemical compound having a band gap and a framework that includes π-delocalized electrons. The method includes complexing a Lewis acid to a basic site within the framework to form a Lewis acid adduct having a band gap that differs from the band gap of the chemical compound. The λof the Lewis acid adduct can be shifted to a longer wavelength in comparison to the λof the chemical compound. In various versions, the chemical compound can be a conjugated oligomer, a conjugated polymer, or a small molecule comprising a conjugated π-electron system. Electronic devices that include Lewis acid adducts are also provided.","",[The Regents of the University of California],"This application claims the benefit of Provisional Patent Application No. 61/180,566, filed on May 22, 2009, which is incorporated by reference herein.",20100524,"This invention was made with Government support under Grant No. 0606414 from the National Science Foundation, and Grant No. 8-448777-23057-3 from the Office of Naval Research. The Government has certain rights in this invention.","","","",""
08343446,20130101,"Oxine modified silican polyamine composites for the separation of gallium from aluminum, ferric from nickel and copper from nickel",13272662,20120128556,20120524,"The oxine ligands 5-chloro-8-hydroxyquiniline and 5-sulfoxyl-8-hydroxyquinoline are covalently bound, using, for example, the Mannich reaction, to a silica gel polyamine composite made from a silanized amorphous silica xerogel and polyallylamine. The resulting modified composites, termed CB-1 (X═Cl) and SB-1 (X═SOH), respectively, show a clear selectivity for trivalent over divalent ions and selectivity for gallium over aluminum. The compounds of the invention can be applied for the sequestration of metals, such as heavy metals, from contaminated mine tailing leachates.","",[The University of Montana],"This application claims the benefit of U.S. Provisional Application No. 61/392,621, filed Oct. 13, 2010, the disclosure of which is hereby incorporated by reference in its entirety including all figures, tables and drawings.",20111013,The subject invention was made with government support under Grant No. CHE 0709738 awarded by the National Science Foundation. The government has certain rights in the invention.,"","","",""
08343627,20130101,Core-shell nanoparticles with multiple cores and a method for fabricating them,12034155,20080226917,20080918,"The present invention is directed toward core-shell nanoparticles, each comprising a ligand-capped metal shell surrounding a plurality of discrete, nonconcentric, metal-containing cores. Methods of making and using these nanoparticles are also disclosed.","",[Research Foundation of State University of New York],"This application claims the benefit of U.S. Provisional Patent Application Ser. No. 60/890,699, filed Feb. 20, 2007, which is hereby incorporated by reference in its entirety.",20080220,This invention was made with government support under award CHE0349040 awarded by the National Science Foundation. The government has certain rights in this invention.,"","","",""
08343636,20130101,Crosslinkable hole-transporting materials for organic light-emitting devices,12267309,20090278445,20091112,"Crosslinkable compounds useful for making hole-transporting materials for organic light-emitting devices, hole-transporting layers made from the crosslinkable compounds, and light-emitting devices that include the hole-transporting layers.","",[University of Washington],"This application is a continuation of International Application No. PCT/US2007/011301, filed May 9, 2007, which claims the benefit of U.S. Provisional Application No. 60/799,064, filed May 9, 2006. Each application is expressly incorporated herein by reference in its entirety.",20081107,"This invention was made with Government support under Contract No. DMR0103009, awarded by the National Science Foundation. The Government has certain rights in the invention.",PCT/US2007/011301,12267309,"",""
08343744,20130101,Regio- and enantioselective alkane hydroxylation with modified cytochrome P450,12983841,20110244537,20111006,"Cytochrome P450 BM-3 from was engineered using a combination of directed evolution and site-directed mutagenesis to hydroxylate linear alkanes regio- and enantioselectively using atmospheric dioxygen as an oxidant. Mutant 9-10A-A328V hydroxylates octane primarily at the 2-position to form S-2-octanol (40% ee). Another mutant, 1-12G, hydroxylates alkanes larger than hexane primarily at the 2-position, but forms R-2-alcohols (40-55% ee). These biocatalysts are highly active for alkane substrates and support thousands of product turnovers. These regio- and enantio-selectivities are retained in whole-cell biotransformations with , where the engineered P450s can be expressed at high levels and the expensive cofactor is supplied endogenously.","",[The California Institute of Technology],"This application is a continuation of U.S. application Ser. No. 12/424,454, filed Apr. 15, 2009 (Now U.S. Pat. No. 7,863,030), which is a continuation of U.S. application Ser. No. 10/869,825, filed Jun. 15, 2004 (Now U.S. Pat. No. 7,524,664), which application claims priority to U.S. Provisional Application No. 60/479,126 filed Jun. 17, 2003, herein incorporated by reference in its entirety.",20110103,This invention was made with government support under Grant Number BES 9981770 awarded by National Science Foundation. The government has certain rights in the invention.,12424454,12983841,"",""
08343749,20130101,"Method and apparatus for membrane-based, two-stage gas production from solid biomaterials",13347012,20120107895,20120503,"Embodiments of the present invention preferably relate to a method and apparatus for a two-stage membrane-based production of gas, preferably hydrogen gas or the like, from solid biological materials, preferably organic waste materials or the like, comprising anaerobic hydrolysis and fermentation and photofermentation using microorganisms.","","[Arrowhead Center, Inc.]","This application is a divisional of U.S. patent application Ser. No. 12/011,121 (U.S. Pat. No. 8,093,041), entitled &#x201C;Method and Apparatus for Membrane-Based, Two-Stage Gas Production from Solid Biomaterials&#x201D;, filed on Jan. 23, 2008 which claims priority to U.S. Provisional Patent Application Ser. No. 60/886,250, entitled &#x201C;Membrane-Based Biohydrogenesis for Enhanced Biological Production of Hydrogen From Organic Wastes,&#x201D; filed on Jan. 23, 2007, and the specifications and claims of both applications are incorporated herein by reference.",20120110,The U.S. Government has a paid-up license in this invention and the right in limited circumstances to require the patent owner to license others on reasonable terms as provided for by the terms of contract No. BES-06070175 awarded by the National Science Foundation and of Contract No. 601660 SU-83248501-0 awarded by the U.S. Environmental Protection Agency.,12011121,13347012,"",""
08344142,20130101,"Perylene charge-transport materials, methods of fabrication thereof, and methods of use thereof",11629273,20080223444,20080918,"Briefly described, embodiments of this disclosure include perylenetetracarboxylic diimide charge-transport materials, methods of forming perylenetetracarboxylic diimide charge-transport materials, and methods of using the perylenetetracarboxylic diimide charge-transport materials.","",[Georgia Tech Research Corporation],"This application claims priority to U.S. provisional patent application entitled &#x201C;PEREYLENE CONTAINING MATERIALS FOR USE IN ORGANIC ELECTRONIC AND OPTOELECTRONICS&#x201D; filed on Jun. 14, 2004 and accorded Ser. No. 60/579,316, which is entirely incorporated herein by reference.",20050614,The U.S. government may have a paid-up license in embodiments of this disclosure and the right in limited circumstances to require the patent owner to license others on reasonable terms as provided for by the terms of grants awarded by the Office of Naval Research (grant # N00014-04-1-0120) and the National Science Foundation (grant # DMR 0120967 and grant # ECS-0309131) of the U.S. Government.,"","",20080320,PCT/US2005/020815
08344170,20130101,Poly (cyclosiloxane) composition and method of synthesis thereof,10525284,20060106187,20060518,"A poly(cyclosiloxane) network comprises the hydrosilation reaction product of a cyclosiloxane of the formula (I) wherein R and Rare the same or different for each siloxane moiety of hydrogen, an alkyl group, an aryl group, and a cycloalkyl group, and wherein n is an integer from 3 to 8, wherein the cyclosiloxanes are joined by moieties selected from the group consisting of oxygen atoms, linear silanols, branched silanols, halosilanes, alkoxysilanes, vinyl silanes, allyl silanes, vinyl siloxanes, and allyl siloxanes, wherein the Si—O bonds of the cyclosiloxanes are substantially unrearranged compared to the cyclosiloxane precursors of the network. A process for the preparation of a poly(cyclosiloxane) network comprises providing a cyclosiloxane; providing a crosslinking group selected from the group consisting of linear silanols, branched silanols, halosilanes, alkoxysilanes, vinyl silanes, allyl silanes, vinyl siloxanes, and allyl siloxanes; contacting the cyclosiloxane and crosslinking group under condensation reaction conditions such that the crosslinking groups provide Si—O—Si linkages between the cyclosiloxane moieties to form a poly(cyclosiloxane) network composition. ","",[The University of Akron],"This application gains priority from U.S. Provisional Application No. 60/404,351, filed on Aug. 16, 2002.",20030815,This invention was made with government support under cooperative agreements awarded by the National Science Foundation under Grant No. 99-88808. The government may have certain rights to the invention.,"","",20050830,PCT/US03/25661
08344319,20130101,Laser-induced acoustic desorption/atmospheric pressure chemical ionization of compounds,13080597,20110272571,20111110,"The present disclosure provides a novel system and method for evaporating and ionizing compounds comprising an LIAD source and an ionization source that operates at atmospheric pressure. This system is readily adaptable for use with most commercially available mass spectrometers. Ionization sources include Atmospheric Pressure Chemical Ionization sources (APCI) and Atmospheric Pressure Photo Ionization (APPI) sources. The ionization sources are positioned such that the analyte desorbing from the surface of the LIAD is fed into the ion stream produced by the ionization source and ionized analyte and ionized fragments of the analyte are fed into the sample inlet of a mass spectrometer. These systems allow for the mass spectrometric analysis of non-polar compounds that lack readily ionizable functional groups, such as saturated and unsaturated hydrocarbons and compounds with medium to low polarity, as well as hydrocarbon mixtures, such as petroleum.","",[Purdue Research Foundation],"This application claims the benefit of U.S. provisional patent application No. 61/320,917 filed on Apr. 5, 2010, which is hereby incorporated by reference in its entirety.",20110405,This invention was made with government support from the National Institutes of Health under grant number R01GM052418 and the National Science Foundation under grant number CHE-0911629. The U.S. government has certain rights in the invention.,"","","",""
08344333,20130101,Multi-color fluorescence enhancement from a photonic crystal surface,13135246,20120007000,20120112,"A photonic crystal substrate exhibiting resonant enhancement of multiple fluorophores has been demonstrated. The device, which can be fabricated uniformly from plastic materials over a ˜3×5 insurface area by nanoreplica molding, features a 1-D periodic grating structure which utilizes two distinct resonant modes to enhance electric field stimulation of a first dye excited by a first laser (e.g., λ=632.8 nm laser exciting cyanine-5) and a second dye excited by a second laser (e.g., λ=532 nm laser exciting cyanine-3). The first and second lasers could be replaced by a single variable wavelength (tunable) laser. Resonant coupling of the laser excitation to the photonic crystal surface is obtained for each wavelength at a distinct incident angle θ. The photonic crystal is capable of amplifying the output of any fluorescent dye with an excitation wavelength in a given wavelength range (e.g., the range 532 nm&lt;λ&lt;660 nm) by selection of an appropriate incident angle. The device can be used for biological assays that utilize multiple fluorescent dyes within a single imaged area, such as gene expression microarrays.","","[The Board of Trustees of the University of Illinois][SRU Biosystems, Inc.]","This application claims priority under 35 U.S.C. &#xA7;119 to U.S. Provisional application Ser. No. 61/399,274 filed Jul. 8, 2010, the content of which is incorporated by reference herein.",20110628,This invention was made in part with federal funding provided by the National Institutes of Health and the National Science Foundation. The U.S. Government may have certain rights to the invention.,"","","",""
08345518,20130101,Near field optical recording system having negative index of refraction structure,12505434,20120307606,20121206,"High density-information storage is accomplished by the use of novel, near-field optical devices in combination with high-density storage media. The near-field optical devices are configured to focus light to nanoscale spot sizes and may employ negative index of refraction materials for focusing. The high-density storage media may include protein-based storage media, such as photochromic proteins, and high-coercivity magnetic storage media. Light energy provided the optical devices may enable exposed protein molecules to transition between stable molecular states that may be distinguished on the basis of their respective spectral maxima. Light energy provided by the optical device may also be used to heat localized regions of magnetic media to a selected temperature, effecting local changes in coercivity of the magnetic media. Information may be written to the magnetic storage media within this localized region using a magnetic recording device, while leaving the magnetic state of the remaining portion of the magnetic storage media unchanged.","",[The Regents of the University of California],"This application claims the benefit of priority under 35 U.S.C. &#xA7;119(e) of U.S. Provisional Application No. 61/082,105, filed on Jul. 18, 2008 and entitled, &#x201C;NANOLASERS AND PROTEIN-BASED RECORDING MEDIUM,&#x201D; and U.S. Provisional Patent Application No. 61/147,042, filed on Jan. 23, 2009 and entitled, &#x201C;ULTRA-HIGH DENSITY, MULTI-LEVEL HEAT ASSISTED MAGNETIC RECORDING.&#x201D; The entirety of each of these applications is incorporated herein by reference.",20090717,"Embodiments of the present disclosure were made with Government Support under contract numbers H94003-07-2-0703 and H94003-06-2-0608 awarded by the Office of Naval Research/Defense Microelectronics Activity (ONR/DMEA), under Grant contract numbers ECS-0401297, ECS-0508218, ECS-0404308, and IIP-0712445 awarded by the National Science Foundation (NSF), under contract numbers FA9550-04-1-0446 and FA9550-05-1-0232 awarded by the U.S. Air Force Office of Scientific Research (AFOSR), and under contract numbers DOD/DMEA-H94003-07-2-0703 awarded by Defense MicroElectronics Activity (DMEA) and Office of Naval Research (ONR). The Government has certain rights in this invention.","","","",""
