patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
07155959,20070102,Nanodisk sensor and sensor array,10782720,20040194535,20041007,"The invention provides a sensor array with different nanodisk sensors that may be fabricated by direct site-specific dip-pen nanopatterning (DPN) using precursor inks. The good flow characteristics and strong affinity of the sols to measurement electrodes enable intimate ohmic contact. The measurable, reproducible and proportionate changes in the resistance of the sensors when exposed to trace quantities of oxidative and reducing gases constitute the basis for nanodisk gas sensors. The nanodisk sensors show rapid response and ultra-fast recovery for the detection of nitrogen dioxide and acetic acid vapor. Based on the principles of pattern recognition of the olfactory system, an electronic nose that can “smell” different gaseous species is provided with the multiple nanodisk sensor array. These nanodisk sensors have gas recognition ability, instant response and rapid recovery, compact size and integration with the established microelectronics platform and are well-suited for the on-site and real-time detection of gases.",[Ming Su][Vinayak P. Dravid],[Northwestern University],"This application claims priority under 35 U.S.C. &#xA7; 119(e) to U.S. Provisional Patent Application Ser. No. 60/448,636 filed on Feb. 18, 2003, which is incorporated herein in its entirety by this reference.",20040218,This invention was made in part with government support under National Science Foundation (NSF) Grant No.EEC0118025 and Air Force Office of Scientific Research (AFOSR) Grant No. F49620-02-1-0283. The government has certain rights in this invention.,"","","",""
07157067,20070102,Tough diamonds and method of making thereof,10889169,20050011433,20050120,A single crystal diamond grown by microwave plasma chemical vapor deposition has a hardness of 50–90 GPa and a fracture toughness of 11–20 MPa m. A method for growing a single crystal diamond includes placing a seed diamond in a holder; and growing single crystal diamond at a temperature of about 1000° C. to about 1100° C. such that the single crystal diamond has a fracture toughness of 11–20 MPa m.,[Russell J. Hemley][Ho-Kwang Mao][Chih-shiue Yan],[Carnegie Institution of Washington],"The present invention claims the benefit of Provisional Application No. 60/486,435 filed on Jul. 14, 2003, which is hereby incorporated by reference.",20040713,This invention was made with U.S. government support under grant number EAR-0135626 from the National Science Foundation. The U.S. government has certain rights in the invention.,"","","",""
07157068,20070102,Varied morphology carbon nanotubes and method for their manufacture,10151382,20030004058,20030102,"The present invention describes the preparation of carbon nanotubes of varied morphology, catalyst materials for their synthesis. The present invention also describes reactor apparatus and methods of optimizing and controlling process parameters for the manufacture carbon nanotubes with pre-determined morphologies in relatively high purity and in high yields. In particular, the present invention provides methods for the preparation of non-aligned carbon nanotubes with controllable morphologies, catalyst materials and methods for their manufacture.",[Wenzhi Li][Jian Guo Wen][Zhi Feng Ren],[The Trustees of Boston College],"This application claims priority to U.S. Provisional Application Ser. No. 60/292,486 filed on May 21, 2001.",20020520,"The present invention was made with partial support from The US Army Natick Soldier Systems Center (DAAD, Grant Number 16-00-C-9227), Department of Energy (Grant Number DE-FG02-00ER45805) and The National Science Foundation (Grant Number DMR-9996289).","","","",""
07157144,20070102,Giant remnant polarization in laser ablated SrBiNbOthin films on Pt/TiO/SiO/Si  substrates,11000161,"","","SrBiNbO(SBN) thin films are deposited on Pt/TiO2/SiO2/Si substrates using off-axis pulsed laser deposition technique. Off-axis laser ablation avoids plasma damaging of the surface of SBN thin films and is favorable to grow films along the polarization axis (a–b plane). SBN thin films are grown at 350° C. substrate temperature, with 5 mm away from the plasma focus, and annealed at 750° C. for 1 hour in oxygen ambient. These SBN thin films exhibited giant remnant polarization (P) of 50 μC/cmwith coercive field of 190 kV/cm. The fatigue endurance of these SBN thin films was measured at 400 kV/cm and showed minimal (&lt;20%) polarization degradation of up to 10switching cycles. The leakage current density of SBN thin films was found to be about 2×10up to an applied field of 100 kV/cm. The above-mentioned properties of off-axis deposited SBN thin films, makes it a good material for NVRAM devices.",[Ram S. Katiyar][Pijush Battacharya][Rasmi R. Das],[University of Puerto Rico],"",20041130,The claimed invention was made with Government support under grant number INT 0097018 awarded by the National Science Foundation (NSF). The Government has certain rights in this invention.,"","","",""
07157718,20070102,Microfabricated radiation detector assemblies methods of making and using same and interface circuit for use therewith,10837068,20050242291,20051103,"Microfabricated, gas-filled radiation detector assemblies, methods of making and using same and interface circuit for use therewith are provided. The assembly includes a micromachined radiation detector including a set of spaced-apart electrodes and an ionization gas between the electrodes. A housing has a chamber for housing the detector including the gas. The housing of the assembly also includes a window which allows passage of charged particles therethrough to ionize the gas to create electrons which, in turn, create an electron cascade in the gas between the electrodes when the set of electrodes is biased.",[Yogesh B. Gianchandani][Chester G. Wilson],[The Regents of the University of Michigan],"",20040430,"This invention was made with Government support under Award No. EEC-9986866, awarded by NSF-ERC. The Government has certain rights in the invention.","","","",""
07157897,20070102,Method and system for electronic detection of mechanical perturbations using BIMOS readouts,10996274,20050151530,20050714,"A sensor for detecting mechanical perturbations represented by a change in an electrical signal includes a structure such as a cantilever, membrane, etc. and a field effect transistor such as a MOSFET embedded in the structure. The drain current of the embedded transistor changes with mechanical perturbations in the structure caused, for example, by a bio-chemical interaction being sensed. A scanning probe microscope utilizes the embedded MOSFET with a BiMOS actuator.",[Gajendra Shekhawat][Vinayak P. Dravid],[Northwestern University],"The present application claims the priority of provisional patent application Ser. No. 60/524,994 filed Nov. 25, 2003. That application is hereby incorporated herein by reference.",20041123,"This work was supported by the National Science Foundation (NSF) awards: # NSEC-EEC-0118025, and ECS-0330410, and Air Force Office of Scientific Research (AFOSR)-MURI # F49620-00-1-0283.","","","",""
07157934,20070102,Programmable asynchronous pipeline arrays,10921349,20050077918,20050414,"High-performance, highly pipelined asynchronous FPGAs employ a very fine-grain pipelined logic block and routing interconnect architecture. These FPGAs, which do not use a clock to sequence computations, automatically “self-pipeline” their logic without the designer needing to be explicitly aware of all pipelining details. The FPGAs include arrays of logic blocks or cells that include function units, conditional units and other elements, each of which is constructed using basic asynchronous pipeline stages, such as a weak condition half buffer and a precharge half buffer.",[John R. Teifel][Rajit Manohar],"[Cornell Research Foundation, Inc.]","This application claims the benefit, under 35 U.S.C. 119(e), of U.S. Provisional Application No. 60/495,897, filed Aug. 19, 2003, which is hereby incorporated by reference in its entirety.",20040819,"This invention arose out of research that was supported in part by the Multidisciplinary University Research Initiative (MURI) under the Office of Naval Research Contract N00014-00-1-0564, and in part by an NSF CAREER award under contract CCR 9984299. The US Government has certain rights in the invention.","","","",""
07158228,20070102,Holographic imaging spectrometer,10627184,20040021871,20040205,"A holographic imaging spectrometer, apparatus, and/or method enables the projection of a two-dimensional (2D) slice (having spectral information) of a four-dimensional (4D) probing object. A 4D probing source object is illuminated to emit an optical field. A holographic element having one or more recorded holograms receives and diffracts the optical field into a diffracted plane beam having spectral information. Collector optics (e.g., an imaging lens) focuses the diffracted plane beam having spectral information to a 2D slice (having spectral information) of the 4D probing source object. The focused 2D slice having spectral information is projected onto a 2D detector array surface. In addition, the holographic element may have multiple multiplexed holograms that are arranged to diffract light from the corresponding slice of the 4D probing source object to a non-overlapping section of the detector.",[Demetri Psaltis][Wenhai Liu][Jose Mumbru][George Barbastathis],[California Institute of Technology][Massachusetts Institute of Technology],"This application claims the benefit under 35 U.S.C. Section 119(e) of the following and commonly-assigned U.S. provisional patent application(s), which is/are incorporated by reference herein:Provisional Application Ser. No. 60/398,945, filed on Jul. 25, 2002, by Demetri Psaltis, Wenhai Liu, Jose Mumbru, and George Barbastathis, entitled &#x201C;HOLOGRAPHIC IMAGING SPECTROMETER.&#x201D;",20030725,"The invention was made with Government support under Grant No.F30601-98-1-0199 awarded by DARPA, and Grant No. EEC9402726 awarded by the National Science Foundation. The Government has certain rights in this invention.","","","",""
07158545,20070102,Terahertz lasers and amplifiers based on resonant optical phonon scattering to achieve population inversion,10661831,20050058168,20050317,"The present invention provides quantum cascade lasers and amplifier that operate in a frequency range of about 1 Terahertz to about 10 Terahertz. In one aspect, a quantum cascade laser of the invention includes a semiconductor heterostructure that provides a plurality of lasing modules connected in series. Each lasing module includes a plurality of quantum well structure that collectively generate at least an upper lasing state, a lower lasing state, and a relaxation state such that the upper and the lower lasing states are separated by an energy corresponding to an optical frequency in a range of about 1 to about 10 Terahertz. The lower lasing state is selectively depopulated via resonant LO-phonon scattering of electrons into the relaxation state.",[Qing Hu][Benjamin S. Williams],[Massachusetts Institute of Technology],"",20030912,"This invention was made with government support under Contract No. PO#P927326 awarded by AFOSR, Contract No. NAG5-9080 awarded by NASA, and Contract No. ECS-0217782 awarded by NSF. The government has certain rights in the invention.","","","",""
07160464,20070109,"Methods for removal, purification, and concentration of viruses and methods of therapy based thereupon",11018939,20050247630,20051110,"The invention is based on the discovery that certain membranes, which include side chains or molecular “brushes” having, for example, tertiary amino functional groups, can be used as highly effective filters to capture viruses/virus particles from liquids without removal of proteins. New methods based on this discovery include removing viruses from liquids such as blood or plasma, removing viruses from pharmaceuticals, concentrating and/or purifying viruses, e.g., for use in gene therapy, and producing recombinant viruses in new bioreactors. The invention also includes new methods of therapy or adjunct therapy for viral infections, in which a patient's blood or plasma is filtered through the membranes to remove viruses to reduce the viral load. The invention also includes new bioreactors and viral filters containing the membranes.",[William Lee][Jeffrey R. Morgan][Martin L. Yarmush],[The General Hospital Corporation],"This application is a continuation of U.S. application Ser. No. 09/728,882, filed on Dec. 1, 2000, now U.S. Pat. No. 6,861,001, which claims benefit of priority from U.S. Provisional Application No. 60/168,551, filed on Dec. 2, 1999, both of which are incorporated herein by reference in their entirety.",20041221,"This research was funded in part by National Institutes of Health grant P01-28528, NSF BS9800617. Accordingly, the United States Government has certain interest and rights to this invention.",09728882,11018939,"",""
07160489,20070109,Controlled chemical aerosol flow synthesis of nanometer-sized particles and other nanometer-sized products,10683948,20060244164,20061102,"A method and apparatus for producing nanometer-sized particles, the method including the steps of forming of mixture by mixing a first precursor reactant, a second precursor reactant, a surface-stabilizing surfactant, and a high boiling point liquid to form a mixture, forming a mist of droplets of the mixture, heating the droplets to cause a reaction between species of the first and second precursor reactants within the heated droplets, and collecting the nanometer-sized products.",[Yuri T. Didenko][Kenneth S. Suslick],[The Board of Trustees of the University of Illinois],"",20031010,This invention was made with Government support under Contract CHE-0079124 awarded by the National Science Foundation (NSF). The Government has certain rights in the invention.,"","","",""
07160531,20070109,Process for the continuous production of aligned carbon nanotubes,10141423,"","","Novel methods and apparati for continuous production of aligned carbon nanotubes are disclosed. In one aspect, the method comprises dispersion of a metal catalyst in a liquid hydrocarbon to form a feed solution, and volatilizing the feed solution in a reactor through which a substrate is continuously passed to allow growth of nanotubes thereon. In another aspect, the apparatus comprises a reactor, a tube-within-a-tube injector, and a conveyor belt for passing a substrate through the reactor. The present invention further discloses a method for restricting the external diameter of carbon nanotubes produced thereby comprising passing the feed solution through injector tubing of a specified diameter, followed by passing the feed solution through an inert, porous medium. The method and apparati of this invention provide a means for producing aligned carbon nanotubes of a particular external diameter which is suitable for large scale production in an industrial setting.",[David N. Jacques][Rodney J. Andrews],[University of Kentucky Research Foundation],"This application claims the benefit of U.S. Provisional Patent Application Ser. Nos. 60/289,415 filed May 8, 2001, 60/289,745 filed May 9, 2001, and 60/356,272 filed Feb. 11, 2002.",20020508,This invention was made with Government support under NSF-MRSEC grant DMR-9809606. The Government may have certain rights in this invention.,"","","",""
07160551,20070109,Injectable system for controlled drug delivery,10191789,20040009226,20040115,"An injectable composition for delivery of a bioactive agent contains a biocompatible solvent, a hydrophobic polymer, and an amphiphilic block copolymer. The hydrophobic polymer may be a biodegradable polymer, and the block copolymer may contain a segment of poly(ethylene oxide).",[Anthony J. McHugh][Jessica R. DesNoyer],[The Board of Trustees of the University of Illinois],"",20020709,The subject matter of this application was in part funded by the National Science Foundation (Grant no. CTS 97-31530). The government may have certain rights in this invention.,"","","",""
