patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
07641461,20100105,Robotic systems for automated construction,11040401,20050196484,20050908,"A robotic system may include a movable gantry robot, and a nozzle assembly movably coupled to the overhead beam of the gantry robot. The gantry robot may include an overhead beam extending between, and supported by, at least two side members slidably mounted on a pair of rails. The nozzle assembly may be coupled to the overhead beam of the gantry robot, and may be configured to extrude material through an outlet. The robotic system may further include a position controller configured to control position and movement of the gantry robot and the nozzle assembly.",[Behrokh Khoshnevis],[University of Southern California],"This application is based upon and claims priority to U.S. Provisional Application Ser. No. 60/537,756, entitled &#x201C;Automated Construction Using Extrusion,&#x201D; filed on Jan. 20, 2004, by inventor Behrokh Khoshnevis. The entire content of this provisional application is incorporated herein by reference.This application is also a continuation-in-part of U.S. patent application Ser. No. 10/760,963, entitled &#x201C;Multi-Nozzle Assembly for Extrusion of Wall,&#x201D; filed on Jan. 20, 2004, (now U.S. Pat. No. 7,153,454, issued Dec. 26, 2006), also by inventor Behrokh Khoshnevis. The '963 application is based upon and claims priority to U.S. Provisional Application No. 60/441,572, entitled &#x201C;Automated Construction,&#x201D; filed on Jan. 21, 2003, by inventor Behrokh Khoshnevis. The entire content of this non-provisional application Ser. No. 10/760,963 is incorporated herein by reference.",20050121,This invention was made with government support under Grant Nos. 9634962 and 9522982 awarded by the National Science Foundation. The government has certain rights in the invention.,10760963,11040401,"",""
07641733,20100105,Method and apparatus for growth of multi-component single crystals,11660593,20080203361,20080828,"A method and apparatus for growth of uniform multi-component single crystals is provided. The single crystal material has at least three elements and has a diameter of at least 50 mm, a dislocation density of less than 100 cmand a radial compositional variation of less than 1%.",[Partha Dutta],[Rensselaer Polytechnic Institute],"This application claims benefit of priority of U.S. Provisional Application Ser. No. 60/606,132, filed on Sep. 1, 2004, which is incorporated herein by reference in their entirety.",20050901,"The U.S. government may have certain rights in this invention pursuant to grant numbers ECS 0093706 from NSF, N00014-02-1-0458 from ONR and F33615-98-D-5438 from AFOSR.","","",20070220,PCT/US2005/031044
07641984,20100105,Composite metal foam and methods of preparation thereof,11289661,20060140813,20060629,"The present invention is directed to composite metal foams comprising hollow metallic spheres and a solid metal matrix. The composite metal foams show high strength, particularly in comparison to previous metal foams, while maintaining a favorable strength to density ratio. The composite metal foams can be prepared by various techniques, such as powder metallurgy and casting.",[Afsaneh Rabiei],[North Carolina State University],"This application claims the benefit of U.S. Provisional Application No. 60/631,801, filed Nov. 29, 2004, which is incorporated herein in its entirety.",20051129,The research underlying this invention was supported in part with funds from National Science Foundation (NSF) Grant No. 0238929. The United States Government may have an interest in the subject matter of this invention.,"","","",""
07642071,20100105,Methods of expressing gram-negative glycosaminoglycan synthase genes in gram-positive hosts,11701262,20070281342,20071206,"The present invention relates to a Gram-negative glycosaminoglycan gene and methods of making and using same. The present invention relates to recombinant Gram-positive host cells containing a Gram-negative glycosaminoglycan synthase gene, and methods of producing glycosaminoglycans using such recombinant host cells.",[Paul L. DeAngelis],[The Board of Regents of the University of Oklahoma],"This application claims benefit under 35 U.S.C. 119(e) of U.S. Ser. No. 60/765,140, filed Feb. 2, 2006. This application is a continuation-in-part of U.S. Ser. No. 11/042,530 now U.S. Pat. No. 7,569,386, filed Jan. 24, 2005; which is a continuation of U.S. Ser. No. 09/842,484 filed Apr. 25, 2001, now abandoned, which claims benefit under 35 U.S.C. 119(e) of provisional application U.S. Ser. No. 60/199,538, filed Apr. 25, 2000. Said U.S. Ser. No. 09/842,484 is also a continuation-in-part of U.S. Ser. No. 09/283,402, filed Apr. 1, 1999, now abandoned; and said U.S. Ser. No. 09/842,484 is also a continuation-in-part of U.S. Ser. No. 09/437,277, filed Nov. 10, 1999, now U.S. Pat. No. 6,444,447, issued Sep. 3, 2002. The contents of each of the above-referenced patents and patent applications are hereby expressly incorporated herein by reference in their entirety.",20070201,The government owns certain rights in the present invention pursuant to a grant from the National Institutes of Health (GM56497) and a grant from the National Science Foundation (MCB-9876193).,11042530,11701262,"",""
07642083,20100105,Biocatalytic synthesis of quinic acid and conversion to hydroquinone by recombinant microbes,11184707,20060003429,20060105,A bioengineered synthesis scheme for the production of quinic acid from a carbon source is provided. Methods of producing quinic acid from a carbon source based on the synthesis scheme as well as conversion of quinic acid to hydroquinone are also provided.,[John W. Frost][Karen M. Frost],[Board of Trustees Operating Michigan State University],"The present invention is a continuation of U.S. Ser. No. 10/435,242, filed May 9, 2003, now issued as U.S. Pat. No. 7,002,047, which is a continuation of U.S. Ser. No. 09/427,394, filed Oct. 25, 1999, now issued as U.S. Pat. No. 6,600,077, which is a continuation-in-part of U.S. Ser. No. 09/240,441, filed Jan. 29, 1999, now abandoned, which are hereby expressly incorporated by reference.",20050719,Work on this invention was sponsored in part by the United States Department of Agriculture Grant No. 95-37500-1930 and the National Science Foundation Grant No. CHE963368 amendment 002. The Government may have certain rights in the invention.,10435242,11184707,"",""
07643155,20100105,Partially coherent illumination for inverse scattering full-field interferometric synthetic aperture microscopy,12131390,20090086216,20090402,"Methods and apparatus for three-dimensional imaging of a sample. A source is provided of a beam of light characterized by partial spatial coherence. The beam is focused onto a sample and scattered light from the sample is superposed with a reference beam derived from the source onto a focal plane detector array to provide an interference signal. A forward scattering model is derived relating measurement data to structure of an object to allow solutions of an inverse scattering problem, based upon the interference signal so that a three-dimensional structure of the same may be inferred. The partial spatial coherence of the source, which may be fixed or variable, may advantageously provide for rejection of multiple scattering artifacts and thus improve image quality.",[Daniel L. Marks][Brynmor J. Davis][Stephen A. Boppart][Paul Scott Carney],[The Board of Trustees of the University of Illinois],"The present application is a continuation-in-part of U.S. Patent Application Ser. No. 11/775,572, filed Jul. 10, 2007, and, like that application, claims the priority of U.S. Provisional Patent Application Ser. No. 60/819,593, filed Jul. 10, 2006. Both of these applications are incorporated herein by reference in their entirety.",20080602,"This invention was developed with Government support under Grant Nos. IR21-EB005321 and IR01-EB005221, awarded by the National Institutes of Health and CAREER Awards BES 03-47747, BES 05-19920, BES 06-19257 and 0239265, awarded by the National Science Foundation. The Government has certain rights in the invention.",11775572,12131390,"",""
07643469,20100105,Method for channel assignment and routing for multi-radio wireless mesh networks,11325060,20070153702,20070705,"A methodology for making joint channel and routing assignments in multi-radio wireless mesh networks that takes into account interference constraints, the number of channels in a network and the number of radio available at each mesh router, and maximizes bandwidth allocation subject to fairness constraints. In particular, the methodology provides for routing, channel assignment and link scheduling in multi-radio mesh wireless networks utilizing a constant factor approximation technique that models the interference and fairness constraints and is able to account for the number of radios at each of the wireless nodes of a wireless mesh network.",[Mansoor Ali Khan Alicherry][Randeep S. Bhatia][Li Li],[Alcatel-Lucent USA Inc.],"",20060104,This invention was made with U.S. Government support under Agreement No. ANI-0335244 awarded by the National Science Foundation. The U.S. Government has certain rights in the invention.,"","","",""
07643597,20100105,Methods for selecting a subsequence of video frames from a sequence of video frames,10964264,20050198575,20050908,A method for selecting a subsequence of video frames (-) from a sequence of video frames () comprising defining a distance function between video frames (-) in the sequence of video frames (). An optimization criterion is defined to express a feature of a plurality of subsequences of video frames (-) selected from the sequence of video frames (). A method is disclosed for displaying key frames for browsing and streaming.,[Tiecheng Liu][John R. Kender],[The Trustees of Columbia University in the City of New York],"The present application is a continuation of International Patent Application No. PCT/US03/11714, filed Apr. 15, 2003, published on Oct. 30, 2003 as International Patent Publication No. WO 03/090444, which claims priority to U.S. Provisional Application Ser. No. 60/372,778, filed on Apr. 15, 2002, entitled &#x201C;Method for Selecting Key Frame Sequences from an Original Video Sequence&#x201D;, and U.S. Provisional Patent Application Ser. No. 60/386,313, filed on Jun. 6, 2002, entitled &#x201C;Methods for Efficient Error-Minimizing, Variable-Rate, Temporal Video Sampling&#x201D;, the contents of which hereby incorporated by reference in their entireties herein.This application claims the benefit of U.S. Provisional Patent Application Ser. No. 60/372,778, filed on Apr. 15, 2002, entitled &#x201C;Method for Selecting Key Frame Sequences from an Original Video Sequence,&#x201D; and U.S. Provisional Patent Application Ser. No. 60/386,313, filed on Jun. 6, 2002, entitled &#x201C;Methods for Efficient Error-Minimizing, Variable-Rate, Temporal Video Sampling,&#x201D; which are hereby incorporated by reference in its entirety herein.",20041013,"The present invention was made in part with support of the National Science Foundation, award no. EIA-00-71954. Accordingly, the United States Government may have certain rights to this invention.",PCT/US03/11714,10964264,"",""
07644381,20100105,Electromagnetic coupled basis functions for an electronic circuit,11736378,20070245275,20071018,"A method and system to efficiently create electromagnetic coupled basis functions for an electronic circuit that is defined by geometry data and topology data. The geometry data for the circuit are read, and a three-dimensional mesh of polygons for the circuit is created. External port geometry and internal port geometry (internal ports occur where vias are attached to conductive layers) are determined from the geometry data. Circuit electromagnetic basis functions are then created as are loop-tree formations that are coupled to the basis functions. The loops include local loops, via loops, and hole loops. The three-dimensional mesh is efficiently created by extruding a two-dimensional mesh for each layer and via in the circuit.",[Vikram Jandhyala][Swagato Chakraborty][James Pingenot],[University of Washington],"",20070417,"This invention was made with U.S. Government support under grant No. N66001-01-8920 and W31P4Q-06-C-0097 awarded by the Defense Advanced Research Projects Agency (DARPA), and grant No. ECS0093102AM05 awarded by the National Science Foundation (NSF). The U.S. Government has certain rights in the invention.","","","",""
07645308,20100112,Osmium diboride compounds and their uses,11578029,20070224100,20070927,"Osmium, when combined with boron alone, or in combination with rhenium, ruthenium or iron, produces compounds that are ultra-hard and incompressible. These osmium diboride compounds are useful as a substitute to for other super or ultra-hard materials that are used in cutting tools and as abrasives. The osmium diboride compounds have the formula  OsMB  where M is rhenium, ruthenium or iron and x is from 0.01 to 1, except when x is not 1 and M is rhenium, x is from 0.01 to 0.3. ",[Richard B. Kaner][John J. Gilman],[The Regents of the University of California],"This application is a national phase of International Application No. PCT/US 2005/016372, filed May 10, 2005, and claiming priority of U.S. Provisional Application No. 60/570,320, filed May 11, 2004, the entire contents of which are incorporated herein by reference.",20050510,The U.S. Government has a paid-up license in this invention and the right in limited circumstances to require the patent owner to license others on reasonable terms as provided for by the terms of NSF Grant No. 0073581.,"","",20061012,PCT/US2005/016372
