patentno,patpubdate,title,appno,priorpub,priorpubdate,abstract,invs,assignee,xref,filedate,govint,parentcase,childcase,date371,pctpubno
08087310,20120103,Interconnect for MEMS device including a viscoelastic septum,12357330,20090183555,20090723,"Provided is a micro electro mechanical systems (MEMS) device for use with an elongate structure. The MEMS device includes a generally planar substrate, a device wall layer formed upon the substrate, a septum cavity formed in the device wall layer, a channel formed in the device wall layer in fluid communication with the septum cavity, and a septum element disposed in the septum cavity. The septum element is formed of a viscoelastic material. The septum element defines a septum entry surface and a septum exit surface with the septum exit surface being exposed to the channel and disposed between the septum entry surface and the channel. The septum element is without any openings formed through the septum element extending between the septum entry and exit surfaces. Methods of manufacturing and interacting with the MEMS device are also provided.","",[],"This application is related to and claims the benefit of the earlier filing date of U.S. Provisional Patent Application No. 61/011,462, entitled INTERCONNECT FOR MEMS DEVICE INCLUDING A VISCOELASTIC SEPTUM, filed on Jan. 17, 2008, the entire contents of which are incorporated herein by reference. It is noted that Monday, Jan. 19, 2009, and Tuesday, Jan. 20, 2009, are each a &#x201C;Federal holiday within the District of Columbia&#x201D; (See MPEP 710.05 and TEMP 308).",20090121,Grant No. EEC-0310723 (USC AC. No. 5345087106) from the National Science Foundation (NSF); and Grant No. EEC-0547544 (USC AC. No. 53450833420) from the National Science Foundation (NSF).,"","","",""
08088352,20120103,Graphitic-carbon-nanofiber/polymer brushes as gas sensors,11998470,20080257015,20081023,A composition of matter including at least one graphitic-carbon-nanofiber/polymer brush. A method of making the graphitic-carbon-nanofiber/polymer brush includes covalently bonding a polymer to a surface of a graphitic-carbon-nanofiber by atom-transfer-radical-polymerization. An apparatus includes an analyte sensor including at least one graphitic-carbon-nanofiber/polymer brush. A method includes detecting an analyte including exposing at least one graphitic-carbon-nanofiber/polymer brush to the analyte.,"",[Vanderbilt University],"This application claims a benefit of priority under 35 U.S.C. 119(e) from copending provisional patent application U.S. Ser. No. 60/861,252, filed Nov. 28, 2006, the entire contents of which are hereby expressly incorporated herein by reference for all purposes.",20071128,The present invention was at least partially the result of work performed under the following federal grants: U.S. Army Research Office W911NF-04-2-0023 (C.M.L. &amp; L.L.) and National Science Foundation CTS-0210366 (C.M.L. &amp; L.L.) The U.S. Government has certain rights to the invention described herein.,"","","",""
08088575,20120103,Massive parallel method for decoding DNA and RNA,12804284,20100317012,20101216,"This invention provides methods for attaching a nucleic acid to a solid surface and for sequencing nucleic acid by detecting the identity of each nucleotide analogue after the nucleotide analogue is incorporated into a growing strand of DNA in a polymerase reaction. The invention also provides nucleotide analogues which comprise unique labels attached to the nucleotide analogue through a cleavable linker, and a cleavable chemical group to cap the —OH group at the 3′-position of the deoxyribose.","",[The Trustees of Columbia University in the City of New York],"This application is a continuation of U.S. Ser. No. 11/810,509, filed Jun. 5, 2007 now U.S. Pat. No. 7,790,869, now allowed, a continuation of U.S. Ser. No. 10/702,203, filed Nov. 4, 2003, now U.S. Pat. No. 7,345,159, issued Mar. 18, 2008, a divisional of U.S. Ser. No. 09/972,364, filed Oct. 5, 2001, now U.S. Pat. No. 6,664,079, issued Dec. 16, 2003, claiming benefit of U.S. Provisional Application No. 60/300,894, filed Jun. 26, 2001, and is a continuation-in-part of U.S. Ser. No. 09/684,670, filed Oct. 6, 2000, now abandoned, the contents of each of which are hereby incorporated in their entireties into this application.",20100719,"The invention disclosed herein was made with government support under National Science Foundation award no. BES0097793. Accordingly, the U.S. Government has certain rights in this invention.",11810509,12804284,"",""
08088595,20120103,Method for glucose monitoring using fluorescence quenching,12660884,20100222657,20100902,"This disclosure relates to a method of measuring a glucose concentration metric or a glucose metric in a patient by contacting an implantable glucose-sensing device with a test sample, which may be in the patient, under conditions that permit a sugar-binding molecule and a functionalized polymer or nano-particle ligand present throughout the matrix of a hydrogel to interact in a glucose-dependent manner to produce an optical signal resulting from quenching of a first fluorophore linked to the ligand or sugar-binding molecule and having a fluorescent emission spectrum quenched upon binding or release of glucose. Next the first fluorophore may be excited with light of a certain wavelength. Then at least one wavelength of light in the glucose-dependent optical signal from the fluorophore may be detected with a detector to produce a detected light signal, which may be processed to produce a glucose metric, such as a glucose concentration metric.","",[The Texas A&amp;M University System],"This application is a divisional of U.S. application Ser. No. 11/529,280 filed Sep. 28, 2006 entitled &#x201C;Implantable System for Glucose Monitoring Using Fluorescence Quenching,&#x201D; now U.S. Pat. No. 7,704,704.U.S. application Ser. No. 11/529,280 claims the benefit of U.S. Provisional Application No. 60/721,447 filed Sep. 28, 2005, the contents of which are incorporated herein, in their entirety, by reference.",20100305,This invention was made with Government support via NSF Contract No. #BES9908439. The Government may have certain rights in this invention.,11529280,12660884,"",""
08088604,20120103,Production of defined monodisperse heparosan polymers and unnatural polymers with polysaccharide synthases,11906704,20080109236,20080508,"The present invention relates to methodology for polymer grafting by a polysaccharide synthase and, more particularly, polymer grafting using the hyaluronate or chondroitin or heparin/heparosan synthases from , in order to create a variety of glycosaminoglycan oligosaccharides having a natural or chimeric or hybrid sugar structure with a targeted size that are substantially monodisperse in size. The present invention also relates to methodology for polymer grafting by a polysaccharide synthase to form glycosaminoglycan polymers having an unnatural structure.","",[The Board of Regents of the University of Oklahoma],"This application claims benefit under 35 U.S.C. 119(e) of U.S. Ser. No. 60/849,034, filed Oct. 3, 2006; and U.S Ser. No. 60/921,296, filed Mar. 30, 2007.This application is also a continuation-in-part of U.S. Ser. No. 11/651,379, filed Jan. 9, 2007, now U.S. Pat. No. 7,579,173; which is a continuation of U.S. Ser. No. 10/642,248, filed Aug. 15, 2003, now U.S. Pat. No. 7,223,571; which claims benefit under 35 U.S.C. 119(e) of provisional applications U.S. Ser. No. 60/404,356, filed Aug. 16, 2002; U.S. Ser. No. 60/479,432, filed Jun. 18, 2003; and U.S. Ser. No. 60/491,362, filed Jul. 31, 2003.Said U.S. Ser. No. 10/642,248 is also a continuation-in-part of U.S. Ser. No. 10/195,908, filed Jul. 15, 2002, now abandoned; which is a continuation-in-part of U.S. Ser. No. 09/437,277, filed Nov. 10, 1999, now U.S. Pat. No. 6,444,447, issued Sep. 3, 2002; which claims benefit under 35 U.S.C. 119(e) of U.S. Provisional No. 60/107,929, filed Nov. 11, 1998.Said U.S. Ser. No. 10/195,908 is also a continuation-in-part of U.S. Ser. No. 09/283,402, filed Apr. 1, 1999, now abandoned; which claims benefit under 35 U.S.C. 119(e) of U.S. Provisional No. 60/080,414, filed Apr. 2, 1998.Said U.S. Ser. No. 10/195,908 is also a continuation-in-part of U.S. Ser. No. 09/842,484, filed Apr. 25, 2001, now abandoned; which claims benefit under 35 U.S.C. 119(e) of U.S. Ser. No. 60/199,538, filed Apr. 25, 2000.Said U.S. Ser. No. 10/195,908 is also a continuation-in-part of U.S. Ser. No. 10/142,143, filed May 8, 2002, now U.S. Pat. No. 7,307,159; which claims benefit under 35 U.S.C. 119(e) of U.S. Ser. No. 60/289,554, filed May 8, 2001.The contents of each of the above-referenced patents and patent applications are hereby expressly incorporated herein in their entirety by reference.",20071003,This application was supported in part by National Research Grant C2163601 from the National Science Foundation. The United States Government may have rights in and to this application by virtue of this funding.,11165379,11906704,"",""
08088912,20120103,pRNA chimera,10539241,20080064647,20080313,"A polyvalent multimeric complex formed from a plurality of circularly permuted chimeric pRNA molecules, each carrying a stabilized biologically active moiety.","",[Purdue Research Foundation],"This application is a U.S. National Stage patent Application of International Patent Application No. PCT/US 2003/039950, filed 16 Dec. 2003; which claims the benefit of U.S. provisional patent application Ser. No. 60/433,697, filed Dec. 16, 2002, and is a continuation-in-part patent application of U.S. patent application Ser. No. 10/373,612, filed Feb. 24, 2003, which is a continuation in part application of PCT/US01/26333, filed Aug. 23, 2001, which in turn claims the benefit of U.S. provisional patent application Ser. No. 60/227,393, filed Aug. 23, 2000, each of which patent applications is incorporated herein by reference in its entirety.",20031216,This invention was made with government support under grants from the National Institutes of Health (Grant No. GM59944 and Grant No. GM48159) and the National Science Foundation (Grant No. MCB-9723923). The government has certain rights in this invention.,10373612,10539241,20070905,PCT/US03/39950
08088923,20120103,Cyclic-fused beta-lactones and their synthesis,11775216,20090062547,20090305,"The present invention provides a concise synthetic method for generating lactam-fused beta-lactones that feature, in some embodiments, a tertiary fused carbinol, quaternary carbons, and a reactive beta-lactone moiety available for further reactions. The present invention further provides compounds synthesized by this method as well as methods of using these compounds as inhibitors of the proteasome and fatty acid synthase.","",[The Texas A&amp;M University System],"This application claims the benefit of U.S. Provisional Application Ser. No. 60/819,444 filed Jul. 7, 2006, the contents of which are incorporated herein in their entirety.",20070709,This invention was made with government support under CHE-0077917 awarded by the National Science Foundation (NSF) and GM069784-01 by the National Institutes of Health (NIH). The government has certain rights in the invention.,"","","",""
08088982,20120103,"Multifunctional biomaterials as scaffolds for electronic, optical, magnetic, semiconducting, and biotechnological applications",12367824,20090269619,20091029,"One-dimensional ring structures from M13 viruses were constructed by two genetic modifications encoding binding peptides and synthesis of a heterobifunctional linker molecule. The bifunctional viruses displayed an anti-streptavidin peptide and hexahistidine (SEQ ID NO:4) peptide at opposite ends of the virus as pIII and pIX fusions. Stoichiometric addition of the streptavidin-NiNTA linker molecule led to the reversible formation of virus-based nanorings with circumferences corresponding to lengths of the packageable DNAs. These virus-based ring structures can be further engineered to nucleate inorganic materials and form metallic, magnetic, or semiconductor nanorings using trifunctionalized viruses.","","[Board of Regents, The University of Texas System][Massachusetts Institute of Technology]","This application is a Continuation of application Ser. No. 10/965,227, filed Oct. 15, 2004, which claims benefit to provisional application 60/511,102 filed Oct. 15, 2003 to Belcher et al., both of which are hereby incorporated by reference in their entirety.",20090209,"This research was supported in part by the U.S. Army through the Institute for Soldier Nanotechnologies, under Contract DAAD-19-03-1-0088 with the U.S. Army Research Office, the National Science Foundation Nanotechnologies Interdisciplinary Research Team, and the Air Force Office of Scientific Research, under Grant No. F49620-03-1-0319. The government has certain rights in the invention.",10965227,12367824,"",""
08089073,20120103,Front and backside processed thin film electronic devices,12877269,20100327355,20101230,"This invention provides thin film devices that have been processed on their front- and backside. The devices include an active layer that is sufficiently thin to be mechanically flexible. Examples of the devices include back-gate and double-gate field effect transistors, double-sided bipolar transistors and 3D integrated circuits.","",[Wisconsin Alumni Research Foundation],"This application is a continuation of U.S. patent application Ser. No. 12/042,066, filed Mar. 4, 2008, now U.S. Pat. No. 7,812,353, which is a division of U.S. patent application Ser. No. 11/276,065, filed Feb. 13, 2006, now U.S. Pat. No. 7,354,809, the entire disclosures of which are hereby incorporated by reference in their entirety and for all purposes as if fully set forth herein.",20100908,Research funding was provided for this invention by the U.S. Army under grant number W911NF-041-1-0389; U.S. Department of Energy under grant number DE-FG02-03ER46028; and the National Science Foundation under grant number 0079983. The United States government has certain rights in this invention.,12042066,12877269,"",""
08089196,20120103,Microcavity enhanced surface acoustic wave devices,12398746,"","",Shear-horizontal surface acoustic wave sensors with micro-cavities in the delay paths were studied using finite element methods. The microcavity devices are SAW delay path devices that have the delay path etched with square patterns at various wavelength dimensions and varying depths to increase the dispersion and bulk to surface wave conversion. Additionally the microcavities are filed with polystyrene to act as an inhomogeneous waveguide for further entrapment of wave energy near the device surface. The effects of micro-cavities and grooves on SAW propagation show significantly greater energy transmission than the other structures presented traditional sensors.,"",[University of South Florida],"This application claims priority to pending U.S. Provisional Patent Application No. 61/033,951, entitled &#x201C;Microcavity Enhanced Surface Acoustic Wave Devices&#x201D;, filed on Mar. 5, 2008, the contents of which are herein incorporated by reference.",20090305,This invention was made with Government support under Grant No. DGE-0221681 awarded by the National Science Foundation and Grant No. W81XWH-05-1-0585 awarded by the United States Army Medical Research Acquisition Activity. The federal government has certain rights in this invention.,"","","",""
